model_id,org_id,model_type,params_B,metadata_row_present
8xqmff94/pooled_gqa_prime,8xqmff94,Fine-tuned,30.0,True
8xqmff94/pooled_gqa_raw,8xqmff94,Fine-tuned,30.0,True
8xqmff94/slm,8xqmff94,Fine-tuned,8.0,True
922-CA/Llama-3-monika-ddlc-8b-v1,922-CA,Fine-tuned,8.0,True
922-CA/Llama-3-natsuki-ddlc-8b-v1,922-CA,Fine-tuned,8.0,True
922-CA/monika-ddlc-7b-v1,922-CA,Fine-tuned,7.0,True
922-CA/monika-ddlc-8b-v1,922-CA,Fine-tuned,8.0,True
922CA/Llama-3-monika-ddlc-11.5b-v1,922CA,Fine-tuned,11.0,True
922CA/Silicon-Monika-7b,922CA,Fine-tuned,7.0,True
922CA/Silicon-Natsuki-7b,922CA,Fine-tuned,7.0,True
922CA/monika-ddlc-8b-v1,922CA,Fine-tuned,8.0,True
AA051610/A0105,AA051610,Fine-tuned,34.0,True
AA051610/A0106,AA051610,Fine-tuned,34.0,True
AA051610/A0120,AA051610,Fine-tuned,34.0,True
AA051610/A0121,AA051610,Fine-tuned,34.0,True
AA051610/A0127,AA051610,Fine-tuned,34.0,True
AA051610/A11P,AA051610,Fine-tuned,,True
AA051610/A12P,AA051610,Fine-tuned,,True
AA051610/A13,AA051610,Fine-tuned,,True
AA051610/AZG,AA051610,Fine-tuned,,True
AA051610/C0318-G,AA051610,Fine-tuned,34.0,True
AA051610/C0322-reft,AA051610,Fine-tuned,34.0,True
AA051610/C0325-L,AA051610,Fine-tuned,34.0,True
AA051610/FT,AA051610,Fine-tuned,34.0,True
AA051610/O0128,AA051610,Fine-tuned,,True
AA051610/Q,AA051610,Fine-tuned,34.0,True
AA051610/T1B,AA051610,Unknown,,False
AA051610/T1C,AA051610,Unknown,,False
AA051610/T2A,AA051610,Unknown,,False
AA051610/VA,AA051610,Unknown,,False
AA051610/testtest,AA051610,Fine-tuned,34.0,True
AA051611/A0109,AA051611,Fine-tuned,34.0,True
AA051611/A0110,AA051611,Fine-tuned,34.0,True
AA051611/A0113,AA051611,Fine-tuned,34.0,True
AA051611/A0118,AA051611,Fine-tuned,34.0,True
AA051611/A0119,AA051611,Fine-tuned,34.0,True
AA051611/O0201,AA051611,Fine-tuned,,True
AA051611/V0201,AA051611,Fine-tuned,,True
AA051611/V0202,AA051611,Fine-tuned,34.0,True
AA051611/limb,AA051611,Fine-tuned,,True
AA051611/whattest,AA051611,Fine-tuned,,True
AA051612/A0123,AA051612,Fine-tuned,34.0,True
AA051612/A0124,AA051612,Fine-tuned,34.0,True
AA051612/A0125,AA051612,Fine-tuned,34.0,True
AA051612/A0126,AA051612,Fine-tuned,34.0,True
AA051612/B0121,AA051612,Fine-tuned,34.0,True
AA051612/B0122,AA051612,Fine-tuned,34.0,True
AA051615/A0204,AA051615,Fine-tuned,34.0,True
AA051615/A0221,AA051615,Fine-tuned,34.0,True
AA051615/A0304,AA051615,Fine-tuned,34.0,True
AA051615/A0305a,AA051615,Fine-tuned,34.0,True
AA051615/A0306,AA051615,Fine-tuned,34.0,True
AA051615/A0308-G,AA051615,Fine-tuned,34.0,True
AA051615/L0223,AA051615,Fine-tuned,,True
AA051615/L0225,AA051615,Fine-tuned,,True
ABX-AI/Infinite-Laymons-9B,ABX-AI,Merged,8.0,True
ABX-AI/Quantum-Citrus-9B,ABX-AI,Merged,8.0,True
ABX-AI/Silver-Sun-11B,ABX-AI,Merged,10.0,True
ABX-AI/Silver-Sun-v2-11B,ABX-AI,Merged,10.0,True
ABX-AI/Spicy-Laymonade-7B,ABX-AI,Merged,7.0,True
AGI-0/Magistral-7B-v0.1,AGI-0,Fine-tuned,7.0,True
AGI-0/ThetaWave-7B-v0.1,AGI-0,Fine-tuned,7.0,True
AGI-0/llamaster-8B-v0.1,AGI-0,Chat/post-trained,8.0,True
AGI-inc/lora_moe_7b,AGI-inc,Unknown,,False
AGI-inc/lora_moe_7b_baseline,AGI-inc,Unknown,,False
AI-B/UTENA-7B-NSFW-V2,AI-B,Fine-tuned,7.0,True
AI-B/UTENA-7B-V3,AI-B,Fine-tuned,7.0,True
AI-Sweden-Models/gpt-sw3-1.3b,AI-Sweden-Models,Pretrained,1.0,True
AI-Sweden-Models/gpt-sw3-1.3b-instruct,AI-Sweden-Models,Chat/post-trained,1.0,True
AI-Sweden-Models/gpt-sw3-126m,AI-Sweden-Models,Pretrained,,True
AI-Sweden-Models/gpt-sw3-126m-instruct,AI-Sweden-Models,Chat/post-trained,,True
AI-Sweden-Models/gpt-sw3-20b,AI-Sweden-Models,Pretrained,20.0,True
AI-Sweden-Models/gpt-sw3-20b-instruct,AI-Sweden-Models,Chat/post-trained,20.0,True
AI-Sweden-Models/gpt-sw3-356m,AI-Sweden-Models,Pretrained,,True
AI-Sweden-Models/gpt-sw3-356m-instruct,AI-Sweden-Models,Chat/post-trained,,True
AI-Sweden-Models/gpt-sw3-40b,AI-Sweden-Models,Pretrained,39.0,True
AI-Sweden-Models/gpt-sw3-6.7b,AI-Sweden-Models,Pretrained,7.0,True
AI-Sweden-Models/gpt-sw3-6.7b-v2,AI-Sweden-Models,Pretrained,7.0,True
AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct,AI-Sweden-Models,Chat/post-trained,7.0,True
AIChenKai/TinyLlama-1.1B-Chat-v1.0-x2-MoE,AIChenKai,Fine-tuned,1.0,True
AIDC-ai-business/Marcoroni-13B,AIDC-ai-business,Unknown,,False
AIDC-ai-business/Marcoroni-70B-v1,AIDC-ai-business,Fine-tuned,68.0,True
AIDC-ai-business/Marcoroni-7B,AIDC-ai-business,Unknown,,False
AIDC-ai-business/Marcoroni-7B-v2,AIDC-ai-business,Fine-tuned,7.0,True
AIDC-ai-business/Marcoroni-7B-v3,AIDC-ai-business,Fine-tuned,7.0,True
AIGeekLabs/radiantloom-mixtral-8x7b-fusion,AIGeekLabs,Pretrained,46.0,True
AIGym/Llama-2-7b-chat-hf-structured-responses,AIGym,Fine-tuned,6.0,True
AIGym/TinyLlama-1.1B-2.5T-chat,AIGym,Fine-tuned,1.0,True
AIGym/TinyLlama-1.1B-2.5T-chat-and-function-calling,AIGym,Fine-tuned,1.0,True
AIGym/deepseek-coder-1.3b-chat,AIGym,Fine-tuned,1.0,True
AIGym/deepseek-coder-1.3b-chat-and-function-calling,AIGym,Fine-tuned,1.0,True
AIGym/deepseek-coder-6.7b-chat,AIGym,Fine-tuned,6.0,True
AIGym/deepseek-coder-6.7b-chat-and-function-calling,AIGym,Fine-tuned,6.0,True
AIJUUD/juud-Mistral-7B,AIJUUD,Chat/post-trained,7.0,True
AIJUUD/juud-Mistral-7B-dpo,AIJUUD,Chat/post-trained,7.0,True
ALBADDAWI/DeepCode-7B-Aurora,ALBADDAWI,Fine-tuned,6.0,True
ALBADDAWI/DeepCode-7B-Aurora-v12,ALBADDAWI,Fine-tuned,6.0,True
ALBADDAWI/DeepCode-7B-Aurora-v13,ALBADDAWI,Fine-tuned,6.0,True
ALBADDAWI/DeepCode-7B-Aurora-v2,ALBADDAWI,Fine-tuned,6.0,True
ALBADDAWI/DeepCode-7B-Aurora-v3,ALBADDAWI,Fine-tuned,6.0,True
APMIC/caigun-lora-model-34B-v2,APMIC,Fine-tuned,34.0,True
APMIC/caigun-lora-model-34B-v3,APMIC,Fine-tuned,34.0,True
Aabbhishekk/TinyLlama-1.1B-miniguanaco,Aabbhishekk,Fine-tuned,1.0,True
Aabbhishekk/llama2-7b-function-calling-slerp,Aabbhishekk,Merged,6.0,True
AbacusResearch/Jallabi-34B,AbacusResearch,Chat/post-trained,34.0,True
AbacusResearch/RasGulla1-7b,AbacusResearch,Pretrained,7.0,True
AbacusResearch/haLLAwa2,AbacusResearch,Fine-tuned,7.0,True
AbacusResearch/haLLAwa3,AbacusResearch,Merged,7.0,True
AbacusResearch/haLLawa4-7b,AbacusResearch,Merged,7.0,True
AbacusResearch/jaLLAbi2-7b,AbacusResearch,Merged,7.0,True
Abe13/juniper-certificate-Llama-2-7b-chat-hf,Abe13,Fine-tuned,7.0,True
Abhaykoul/EMO-1B,Abhaykoul,Fine-tuned,1.0,True
Abhaykoul/HelpingAI-3B,Abhaykoul,Pretrained,2.0,True
Abhaykoul/HelpingAI-Lite-4x1b,Abhaykoul,Merged,3.0,True
Abhaykoul/MediKAI,Abhaykoul,Merged,14.0,True
Abhaykoul/OEvortex,Abhaykoul,Merged,1.0,True
Abhaykoul/Qwen1.5-0.5B-vortex,Abhaykoul,Fine-tuned,,True
Abhaykoul/Qwen1.5-0.5B-vortex-v2,Abhaykoul,Fine-tuned,,True
Abhaykoul/qwen1.5-vortex,Abhaykoul,Fine-tuned,,True
Abhaykoul/vortex2,Abhaykoul,Fine-tuned,2.0,True
Abhinav7/NeuralPipe-7B-slerp,Abhinav7,Pretrained,7.0,True
AdaptLLM/finance-chat,AdaptLLM,Fine-tuned,,True
AdaptLLM/law-chat,AdaptLLM,Fine-tuned,,True
AdaptLLM/medicine-chat,AdaptLLM,Fine-tuned,,True
Aeala/GPT4-x-AlpacaDente-30b,Aeala,Fine-tuned,30.0,True
Aeala/GPT4-x-AlpacaDente2-30b,Aeala,Fine-tuned,30.0,True
Aeala/GPT4-x-Alpasta-13b,Aeala,Fine-tuned,13.0,True
AetherResearch/Cerebrum-1.0-7b,AetherResearch,Fine-tuned,7.0,True
AetherResearch/Cerebrum-1.0-8x7b,AetherResearch,Fine-tuned,46.0,True
AiMavenAi/AiMaven-Prometheus,AiMavenAi,Fine-tuned,7.0,True
AiMavenAi/AiMaven-SmartDawg-7b,AiMavenAi,Fine-tuned,7.0,True
AiMavenAi/MavenWest,AiMavenAi,Fine-tuned,7.0,True
AiMavenAi/Prometheus-1.3,AiMavenAi,Fine-tuned,7.0,True
AlanRobotics/nanit,AlanRobotics,Fine-tuned,2.0,True
AlanRobotics/nanit_v1.1,AlanRobotics,Fine-tuned,2.0,True
AlanRobotics/nanit_v2,AlanRobotics,Fine-tuned,2.0,True
AlanRobotics/nanit_v3,AlanRobotics,Fine-tuned,2.0,True
AlanRobotics/nanit_v3.2,AlanRobotics,Fine-tuned,2.0,True
AlanRobotics/nanobot_v1,AlanRobotics,Chat/post-trained,2.0,True
AlekseyKorshuk/chatml-pyg-v1,AlekseyKorshuk,Fine-tuned,,True
AlekseyKorshuk/pygmalion-6b-vicuna-chatml,AlekseyKorshuk,Fine-tuned,6.0,True
AlekseyKorshuk/vic15-exp-syn-fight-cp3838,AlekseyKorshuk,Fine-tuned,,True
AllyArc/llama_allyarc,AllyArc,Fine-tuned,,True
AlpinDale/pygmalion-instruct,AlpinDale,Unknown,6.0,True
Alsebay/Kilo-2x8B,Alsebay,Fine-tuned,13.0,True
Alsebay/L3-krai-test,Alsebay,Fine-tuned,8.0,True
Alsebay/L3-krai-test-2,Alsebay,Fine-tuned,8.0,True
Alsebay/L3-test-2,Alsebay,Fine-tuned,8.0,True
Alsebay/Lorge-2x7B-UAMM,Alsebay,Fine-tuned,19.0,True
Alsebay/Narumashi-11B,Alsebay,Fine-tuned,10.0,True
Alsebay/Narumashi-11B-v0.9,Alsebay,Fine-tuned,10.0,True
Alsebay/Narumashi-RT-11B-test,Alsebay,Fine-tuned,10.0,True
Alsebay/NarumashiRTS-V1,Alsebay,Fine-tuned,7.0,True
Alsebay/NarumashiRTS-V2,Alsebay,Fine-tuned,7.0,True
Alsebay/new-turn-2,Alsebay,Fine-tuned,10.0,True
AmberYifan/safe-spin-iter1-v2,AmberYifan,Fine-tuned,7.0,True
AmberYifan/test-spin-lora-iter0,AmberYifan,Fine-tuned,,True
AmberYifan/test-spin-lora-iter1,AmberYifan,Fine-tuned,,True
AmberYifan/test-spin-lora-iter2,AmberYifan,Fine-tuned,,True
Amu/dpo-Qwen1.5-0.5B-Chat-alignment-handbook,Amu,Chat/post-trained,,True
Amu/dpo-qlora-Qwen1.5-0.5B-Chat-xtuner,Amu,Chat/post-trained,,True
Antonio88/TaliML-7B-ITA-V.1.0.FINAL,Antonio88,Fine-tuned,7.0,True
Antonio88/TaliML-7B-V.1-ENG,Antonio88,Chat/post-trained,7.0,True
Aratako/Beyonder-4x7B-random-lora,Aratako,Chat/post-trained,24.0,True
Aratako/Mixtral-8x7B-Instruct-v0.1-upscaled,Aratako,Merged,81.0,True
Aratako/c4ai-command-r-v01-japanese-instruct,Aratako,Chat/post-trained,34.0,True
ArianAskari/NeuralHermes-2.5-Mistral-7B,ArianAskari,Fine-tuned,7.0,True
ArianAskari/SOLID-SFT-DPO-MixQV2-SOLIDChosen-SFTRejected-Zephyr-7b-beta,ArianAskari,Fine-tuned,7.0,True
ArianAskari/SOLID-SFT-DPO-MixQV2-SOLIDRejected-SFTChosen-Zephyr-7b-beta,ArianAskari,Fine-tuned,7.0,True
ArianAskari/SOLID-SFT-DPO-MixQV3-SOLIDChosen-SFTRejected-Zephyr-7b-beta,ArianAskari,Fine-tuned,7.0,True
ArianAskari/SOLID-SFT-DPO-MixQV3-SOLIDRejected-SFTChosen-Zephyr-7b-beta,ArianAskari,Fine-tuned,7.0,True
ArianAskari/SOLID-SFT-WoDPO-MixQV2-Zephyr-7b-beta,ArianAskari,Fine-tuned,7.0,True
ArianAskari/SOLID_SFT-WoDPO-WoMixQ,ArianAskari,Fine-tuned,7.0,True
ArtMindia/artmindia3k,ArtMindia,Fine-tuned,,True
Artples/L-MChat-7b,Artples,Merged,7.0,True
Artples/L-MChat-Small,Artples,Merged,2.0,True
Artples/M-LChat-7b,Artples,Merged,7.0,True
Aryanne/MixSwap,Aryanne,Merged,7.0,True
Aryanne/Open-StarLake-Swap-7B,Aryanne,Merged,7.0,True
Aryanne/TinyllamaMix-1.1B,Aryanne,Merged,1.0,True
Aryanne/WestSenzu-Swap-7B,Aryanne,Merged,7.0,True
Aryanne/Westest-7B,Aryanne,Merged,7.0,True
Aryanne/YarnLake-Swap-7B,Aryanne,Merged,7.0,True
Aryanne/ereb-test,Aryanne,Merged,2.0,True
Aryanne/sheared-plus-westlake-50_75p,Aryanne,Merged,2.0,True
Aryanne/sheared-plus-westlake-nearest-50_75p,Aryanne,Merged,2.0,True
Aryanne/sheared-plus-westlake-normal,Aryanne,Merged,2.0,True
Aryanne/sheared-silicon10p,Aryanne,Merged,2.0,True
Aspik101/Llama-2-7b-hf-instruct-pl-lora_unload,Aspik101,Fine-tuned,7.0,True
Aspik101/Nous-Hermes-13b-pl-lora_unload,Aspik101,Fine-tuned,13.0,True
Aspik101/Redmond-Puffin-13B-instruct-PL-lora_unload,Aspik101,Chat/post-trained,13.0,True
Aspik101/StableBeluga-13B-instruct-PL-lora_unload,Aspik101,Fine-tuned,13.0,True
Aspik101/Vicuzard-30B-Uncensored-instruct-PL-lora_unload,Aspik101,Fine-tuned,30.0,True
Aspik101/WizardVicuna-Uncensored-3B-instruct-PL-lora_unload,Aspik101,Fine-tuned,3.0,True
Aspik101/llama-30b-2048-instruct-PL-lora_unload,Aspik101,Fine-tuned,30.0,True
Aspik101/llama-30b-instruct-2048-PL-lora,Aspik101,Fine-tuned,30.0,True
Aspik101/trurl-2-13b-pl-instruct_unload,Aspik101,Fine-tuned,13.0,True
Aspik101/trurl-2-7b-pl-instruct_unload,Aspik101,Fine-tuned,7.0,True
Aspik101/vicuna-13b-v1.5-PL-lora_unload,Aspik101,Fine-tuned,13.0,True
Aspik101/vicuna-7b-v1.3-instruct-pl-lora_unload,Aspik101,Fine-tuned,7.0,True
AtAndDev/CapybaraMarcoroni-7B,AtAndDev,Fine-tuned,7.0,True
AtAndDev/Ogno-Monarch-Neurotic-7B-Dare-Ties,AtAndDev,Merged,7.0,True
AtAndDev/Ogno-Monarch-Neurotic-9B-Passthrough,AtAndDev,Merged,8.0,True
AtAndDev/ShortKing-3b-v0.3,AtAndDev,Fine-tuned,3.0,True
AtAndDev/ShortKingv0.1,AtAndDev,Fine-tuned,1.0,True
AurelPx/Dare-k-7B-ties,AurelPx,Merged,7.0,True
AurelPx/Meliodas-7b-dare,AurelPx,Merged,7.0,True
AurelPx/NeuralPipe-7B-slerp,AurelPx,Merged,7.0,True
AurelPx/Pegasus-7b-slerp,AurelPx,Merged,7.0,True
AurelPx/Percival_01-7b-slerp,AurelPx,Merged,7.0,True
Austism/chronos-hermes-13b-v2,Austism,Fine-tuned,13.0,True
AwanLLM/Awanllm-Llama-3-8B-Cumulus-v0.2,AwanLLM,Fine-tuned,8.0,True
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.3,AwanLLM,Fine-tuned,8.0,True
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.3-DPO,AwanLLM,Chat/post-trained,8.0,True
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.6-Abliterated,AwanLLM,Fine-tuned,8.0,True
AwanLLM/Awanllm-Llama-3-8B-Instruct-DPO-v0.1,AwanLLM,Fine-tuned,8.0,True
AwanLLM/Awanllm-Llama-3-8B-Instruct-DPO-v0.2,AwanLLM,Chat/post-trained,8.0,True
AwanLLM/Awanllm-Llama-3-8B-Instruct-ORPO-v0.1,AwanLLM,Fine-tuned,8.0,True
AwanLLM/Llama-3-8B-Cumulus-v0.1,AwanLLM,Fine-tuned,8.0,True
AwanLLM/Llama-3-8B-Dolfin-v0.2-Instruct,AwanLLM,Fine-tuned,8.0,True
AwanLLM/Meta-Llama-3-8B-Instruct-Dolfin-v0.1,AwanLLM,Fine-tuned,8.0,True
Azazelle/Argetsu,Azazelle,Fine-tuned,7.0,True
Azazelle/Bianca-7b,Azazelle,Merged,7.0,True
Azazelle/Dumb-Maidlet,Azazelle,Fine-tuned,7.0,True
Azazelle/Half-NSFW_Noromaid-7b,Azazelle,Fine-tuned,7.0,True
Azazelle/L3-RP_io,Azazelle,Merged,8.0,True
Azazelle/Maylin-7b,Azazelle,Fine-tuned,7.0,True
Azazelle/Mocha-Dare-7b-ex,Azazelle,Merged,7.0,True
Azazelle/Mocha-SR-7b-ex,Azazelle,Merged,7.0,True
Azazelle/Mocha-Sample-7b-ex,Azazelle,Merged,7.0,True
Azazelle/Moko-DARE,Azazelle,Merged,7.0,True
Azazelle/Moko-SAMPLE,Azazelle,Merged,7.0,True
Azazelle/Silicon-Medley,Azazelle,Chat/post-trained,7.0,True
Azazelle/Sina-Loki-7b-Merge,Azazelle,Fine-tuned,7.0,True
Azazelle/Sina-Odin-7b-Merge,Azazelle,Fine-tuned,7.0,True
Azazelle/Sina-Thor-7b-Merge,Azazelle,Fine-tuned,7.0,True
Azazelle/SlimMelodicMaid,Azazelle,Fine-tuned,7.0,True
Azazelle/Tippy-Toppy-7b,Azazelle,Fine-tuned,7.0,True
Azazelle/Yuna-7b-Merge,Azazelle,Fine-tuned,7.0,True
Azazelle/smol_bruin-7b,Azazelle,Fine-tuned,7.0,True
Azazelle/xDAN-SlimOrca,Azazelle,Fine-tuned,7.0,True
Azure99/blossom-v2-3b,Azure99,Fine-tuned,3.0,True
Azure99/blossom-v2-llama2-7b,Azure99,Chat/post-trained,7.0,True
Azure99/blossom-v3_1-yi-34b,Azure99,Fine-tuned,34.0,True
Azure99/blossom-v4-mistral-7b,Azure99,Fine-tuned,7.0,True
Azure99/blossom-v4-qwen1_5-14b,Azure99,Chat/post-trained,14.0,True
Azure99/blossom-v4-qwen1_5-4b,Azure99,Chat/post-trained,3.0,True
Azure99/blossom-v4-qwen1_5-7b,Azure99,Chat/post-trained,7.0,True
Azure99/blossom-v4-yi-34b,Azure99,Chat/post-trained,34.0,True
Azure99/blossom-v5-14b,Azure99,Chat/post-trained,14.0,True
Azure99/blossom-v5-32b,Azure99,Chat/post-trained,32.0,True
Azure99/blossom-v5-34b,Azure99,Chat/post-trained,34.0,True
Azure99/blossom-v5-4b,Azure99,Chat/post-trained,3.0,True
Azure99/blossom-v5-7b,Azure99,Chat/post-trained,7.0,True
Azure99/blossom-v5-9b,Azure99,Chat/post-trained,8.0,True
Azure99/blossom-v5-llama3-8b,Azure99,Chat/post-trained,8.0,True
Azure99/blossom-v5-mistral-7b,Azure99,Chat/post-trained,7.0,True
Azure99/blossom-v5.1-34b,Azure99,Fine-tuned,34.0,True
BAAI/Aquila2-34B,BAAI,Fine-tuned,34.0,True
BEE-spoke-data/Meta-Llama-3-8Bee,BEE-spoke-data,Continually pretrained,8.0,True
BEE-spoke-data/Mixtral-GQA-400m-v2,BEE-spoke-data,Pretrained,2.0,True
BEE-spoke-data/TinyLlama-1.1bee,BEE-spoke-data,Fine-tuned,1.0,True
BEE-spoke-data/TinyLlama-3T-1.1bee,BEE-spoke-data,Fine-tuned,1.0,True
BEE-spoke-data/smol_llama-101M-GQA,BEE-spoke-data,Fine-tuned,,True
BEE-spoke-data/smol_llama-220M-GQA,BEE-spoke-data,Pretrained,,True
BEE-spoke-data/smol_llama-220M-open_instruct,BEE-spoke-data,Chat/post-trained,,True
BEE-spoke-data/smol_llama-220M-openhermes,BEE-spoke-data,Chat/post-trained,,True
BEE-spoke-data/smol_llama-81M-tied,BEE-spoke-data,Pretrained,,True
BEE-spoke-data/verysmol_llama-v11-KIx2,BEE-spoke-data,Pretrained,,True
BEE-spoke-data/zephyr-220m-dpo-full,BEE-spoke-data,Chat/post-trained,,True
BEE-spoke-data/zephyr-220m-sft-full,BEE-spoke-data,Chat/post-trained,,True
BELLE-2/BELLE-Llama2-13B-chat-0.4M,BELLE-2,Fine-tuned,13.0,True
BFauber/base_7b,BFauber,Fine-tuned,7.0,True
BFauber/bloom-1b1_10e6,BFauber,Fine-tuned,1.0,True
BFauber/lora_llama2-13b_10e4,BFauber,Fine-tuned,13.0,True
BFauber/lora_llama2-13b_10e5,BFauber,Fine-tuned,13.0,True
BFauber/lora_llama2-13b_10e5_attn_only,BFauber,Fine-tuned,13.0,True
BFauber/lora_llama2-13b_10e5_r128_a16,BFauber,Fine-tuned,13.0,True
BFauber/lora_llama2-13b_10e5_r128_a256,BFauber,Fine-tuned,13.0,True
BFauber/lora_llama2-13b_10e5_r128_a4,BFauber,Fine-tuned,13.0,True
BFauber/lora_llama2-13b_10e5_r128_a64,BFauber,Fine-tuned,13.0,True
BFauber/lora_llama2-13b_10e5_r2_a16,BFauber,Fine-tuned,13.0,True
BFauber/lora_llama2-13b_10e5_r2_a256,BFauber,Fine-tuned,13.0,True
BFauber/lora_llama2-13b_10e5_r2_a4,BFauber,Fine-tuned,13.0,True
BFauber/lora_llama2-13b_10e5_r2_a64,BFauber,Fine-tuned,13.0,True
BFauber/lora_llama2-13b_10e5_r32_a16,BFauber,Fine-tuned,13.0,True
BFauber/lora_llama2-13b_10e5_r32_a256,BFauber,Fine-tuned,13.0,True
BFauber/lora_llama2-13b_10e5_r32_a4,BFauber,Fine-tuned,13.0,True
BFauber/lora_llama2-13b_10e5_r32_a64,BFauber,Fine-tuned,13.0,True
BFauber/lora_llama2-13b_10e5_r8_a16,BFauber,Fine-tuned,13.0,True
BFauber/lora_llama2-13b_10e5_r8_a256,BFauber,Fine-tuned,13.0,True
BFauber/lora_llama2-13b_10e5_r8_a4,BFauber,Fine-tuned,13.0,True
