model_id,org_id,model_type,params_B,parameter_group
AlanRobotics/nanobot_v1,AlanRobotics,Chat/post-trained,2.0,<3B
AlekseyKorshuk/chatml-pyg-v1,AlekseyKorshuk,Fine-tuned,,Unknown
AlekseyKorshuk/pygmalion-6b-vicuna-chatml,AlekseyKorshuk,Fine-tuned,6.0,3–<7B
AlekseyKorshuk/vic15-exp-syn-fight-cp3838,AlekseyKorshuk,Fine-tuned,,Unknown
AllyArc/llama_allyarc,AllyArc,Fine-tuned,,Unknown
AlpinDale/pygmalion-instruct,AlpinDale,Unknown,6.0,3–<7B
Alsebay/Kilo-2x8B,Alsebay,Fine-tuned,13.0,7–<15B
Alsebay/L3-krai-test,Alsebay,Fine-tuned,8.0,7–<15B
Alsebay/L3-krai-test-2,Alsebay,Fine-tuned,8.0,7–<15B
Alsebay/L3-test-2,Alsebay,Fine-tuned,8.0,7–<15B
Alsebay/Lorge-2x7B-UAMM,Alsebay,Fine-tuned,19.0,15–<40B
Alsebay/Narumashi-11B,Alsebay,Fine-tuned,10.0,7–<15B
Alsebay/Narumashi-11B-v0.9,Alsebay,Fine-tuned,10.0,7–<15B
Alsebay/Narumashi-RT-11B-test,Alsebay,Fine-tuned,10.0,7–<15B
Alsebay/NarumashiRTS-V1,Alsebay,Fine-tuned,7.0,7–<15B
Alsebay/NarumashiRTS-V2,Alsebay,Fine-tuned,7.0,7–<15B
Alsebay/new-turn-2,Alsebay,Fine-tuned,10.0,7–<15B
AmberYifan/safe-spin-iter1-v2,AmberYifan,Fine-tuned,7.0,7–<15B
AmberYifan/test-spin-lora-iter0,AmberYifan,Fine-tuned,,Unknown
AmberYifan/test-spin-lora-iter1,AmberYifan,Fine-tuned,,Unknown
AmberYifan/test-spin-lora-iter2,AmberYifan,Fine-tuned,,Unknown
Amu/dpo-Qwen1.5-0.5B-Chat-alignment-handbook,Amu,Chat/post-trained,,Unknown
Amu/dpo-qlora-Qwen1.5-0.5B-Chat-xtuner,Amu,Chat/post-trained,,Unknown
Antonio88/TaliML-7B-ITA-V.1.0.FINAL,Antonio88,Fine-tuned,7.0,7–<15B
Antonio88/TaliML-7B-V.1-ENG,Antonio88,Chat/post-trained,7.0,7–<15B
Aratako/Beyonder-4x7B-random-lora,Aratako,Chat/post-trained,24.0,15–<40B
Aratako/Mixtral-8x7B-Instruct-v0.1-upscaled,Aratako,Merged,81.0,≥40B
Aratako/Qwen1.5-MoE-2x7B,Aratako,Merged,12.0,7–<15B
Aratako/c4ai-command-r-v01-japanese-instruct,Aratako,Chat/post-trained,34.0,15–<40B
ArianAskari/NeuralHermes-2.5-Mistral-7B,ArianAskari,Fine-tuned,7.0,7–<15B
ArianAskari/SOLID-SFT-DPO-MixQV2-SOLIDChosen-SFTRejected-Zephyr-7b-beta,ArianAskari,Fine-tuned,7.0,7–<15B
ArianAskari/SOLID-SFT-DPO-MixQV2-SOLIDRejected-SFTChosen-Zephyr-7b-beta,ArianAskari,Fine-tuned,7.0,7–<15B
ArianAskari/SOLID-SFT-DPO-MixQV3-SOLIDChosen-SFTRejected-Zephyr-7b-beta,ArianAskari,Fine-tuned,7.0,7–<15B
ArianAskari/SOLID-SFT-DPO-MixQV3-SOLIDRejected-SFTChosen-Zephyr-7b-beta,ArianAskari,Fine-tuned,7.0,7–<15B
ArianAskari/SOLID-SFT-WoDPO-MixQV2-Zephyr-7b-beta,ArianAskari,Fine-tuned,7.0,7–<15B
ArianAskari/SOLID_SFT-WoDPO-WoMixQ,ArianAskari,Fine-tuned,7.0,7–<15B
ArtMindia/artmindia3k,ArtMindia,Fine-tuned,,Unknown
Artples/L-MChat-7b,Artples,Merged,7.0,7–<15B
Artples/L-MChat-Small,Artples,Merged,2.0,<3B
Artples/M-LChat-7b,Artples,Merged,7.0,7–<15B
Aryanne/MixSwap,Aryanne,Merged,7.0,7–<15B
Aryanne/Open-StarLake-Swap-7B,Aryanne,Merged,7.0,7–<15B
Aryanne/TinyllamaMix-1.1B,Aryanne,Merged,1.0,<3B
Aryanne/WestSenzu-Swap-7B,Aryanne,Merged,7.0,7–<15B
Aryanne/Westest-7B,Aryanne,Merged,7.0,7–<15B
Aryanne/YarnLake-Swap-7B,Aryanne,Merged,7.0,7–<15B
Aryanne/ereb-test,Aryanne,Merged,2.0,<3B
Aryanne/sheared-plus-westlake-50_75p,Aryanne,Merged,2.0,<3B
Aryanne/sheared-plus-westlake-nearest-50_75p,Aryanne,Merged,2.0,<3B
Aryanne/sheared-plus-westlake-normal,Aryanne,Merged,2.0,<3B
Aryanne/sheared-silicon10p,Aryanne,Merged,2.0,<3B
Aspik101/Llama-2-7b-hf-instruct-pl-lora_unload,Aspik101,Fine-tuned,7.0,7–<15B
Aspik101/Nous-Hermes-13b-pl-lora_unload,Aspik101,Fine-tuned,13.0,7–<15B
Aspik101/Redmond-Puffin-13B-instruct-PL-lora_unload,Aspik101,Chat/post-trained,13.0,7–<15B
Aspik101/StableBeluga-13B-instruct-PL-lora_unload,Aspik101,Fine-tuned,13.0,7–<15B
Aspik101/Vicuzard-30B-Uncensored-instruct-PL-lora_unload,Aspik101,Fine-tuned,30.0,15–<40B
Aspik101/WizardVicuna-Uncensored-3B-instruct-PL-lora_unload,Aspik101,Fine-tuned,3.0,3–<7B
Aspik101/llama-30b-2048-instruct-PL-lora_unload,Aspik101,Fine-tuned,30.0,15–<40B
Aspik101/llama-30b-instruct-2048-PL-lora,Aspik101,Fine-tuned,30.0,15–<40B
Aspik101/trurl-2-13b-pl-instruct_unload,Aspik101,Fine-tuned,13.0,7–<15B
Aspik101/trurl-2-7b-pl-instruct_unload,Aspik101,Fine-tuned,7.0,7–<15B
Aspik101/vicuna-13b-v1.5-PL-lora_unload,Aspik101,Fine-tuned,13.0,7–<15B
Aspik101/vicuna-7b-v1.3-instruct-pl-lora_unload,Aspik101,Fine-tuned,7.0,7–<15B
AtAndDev/CapybaraMarcoroni-7B,AtAndDev,Fine-tuned,7.0,7–<15B
AtAndDev/Ogno-Monarch-Neurotic-7B-Dare-Ties,AtAndDev,Merged,7.0,7–<15B
AtAndDev/Ogno-Monarch-Neurotic-9B-Passthrough,AtAndDev,Merged,8.0,7–<15B
AtAndDev/ShortKing-3b-v0.3,AtAndDev,Fine-tuned,3.0,3–<7B
AtAndDev/ShortKingv0.1,AtAndDev,Fine-tuned,1.0,<3B
AurelPx/Dare-k-7B-ties,AurelPx,Merged,7.0,7–<15B
AurelPx/Meliodas-7b-dare,AurelPx,Merged,7.0,7–<15B
AurelPx/NeuralPipe-7B-slerp,AurelPx,Merged,7.0,7–<15B
AurelPx/Pegasus-7b-slerp,AurelPx,Merged,7.0,7–<15B
AurelPx/Percival_01-7b-slerp,AurelPx,Merged,7.0,7–<15B
Austism/chronos-hermes-13b-v2,Austism,Fine-tuned,13.0,7–<15B
AwanLLM/Awanllm-Llama-3-8B-Cumulus-v0.2,AwanLLM,Fine-tuned,8.0,7–<15B
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.3,AwanLLM,Fine-tuned,8.0,7–<15B
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.3-DPO,AwanLLM,Chat/post-trained,8.0,7–<15B
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.6-Abliterated,AwanLLM,Fine-tuned,8.0,7–<15B
AwanLLM/Awanllm-Llama-3-8B-Instruct-DPO-v0.1,AwanLLM,Fine-tuned,8.0,7–<15B
AwanLLM/Awanllm-Llama-3-8B-Instruct-DPO-v0.2,AwanLLM,Chat/post-trained,8.0,7–<15B
AwanLLM/Awanllm-Llama-3-8B-Instruct-ORPO-v0.1,AwanLLM,Fine-tuned,8.0,7–<15B
AwanLLM/Llama-3-8B-Cumulus-v0.1,AwanLLM,Fine-tuned,8.0,7–<15B
AwanLLM/Llama-3-8B-Dolfin-v0.2-Instruct,AwanLLM,Fine-tuned,8.0,7–<15B
AwanLLM/Meta-Llama-3-8B-Instruct-Dolfin-v0.1,AwanLLM,Fine-tuned,8.0,7–<15B
Azazelle/Argetsu,Azazelle,Fine-tuned,7.0,7–<15B
Azazelle/Bianca-7b,Azazelle,Merged,7.0,7–<15B
Azazelle/Dumb-Maidlet,Azazelle,Fine-tuned,7.0,7–<15B
Azazelle/Half-NSFW_Noromaid-7b,Azazelle,Fine-tuned,7.0,7–<15B
Azazelle/L3-RP_io,Azazelle,Merged,8.0,7–<15B
Azazelle/Maylin-7b,Azazelle,Fine-tuned,7.0,7–<15B
Azazelle/Mocha-Dare-7b-ex,Azazelle,Merged,7.0,7–<15B
Azazelle/Mocha-SR-7b-ex,Azazelle,Merged,7.0,7–<15B
Azazelle/Mocha-Sample-7b-ex,Azazelle,Merged,7.0,7–<15B
Azazelle/Moko-DARE,Azazelle,Merged,7.0,7–<15B
Azazelle/Moko-SAMPLE,Azazelle,Merged,7.0,7–<15B
Azazelle/Silicon-Medley,Azazelle,Chat/post-trained,7.0,7–<15B
Azazelle/Sina-Loki-7b-Merge,Azazelle,Fine-tuned,7.0,7–<15B
Azazelle/Sina-Odin-7b-Merge,Azazelle,Fine-tuned,7.0,7–<15B
Azazelle/Sina-Thor-7b-Merge,Azazelle,Fine-tuned,7.0,7–<15B
Azazelle/SlimMelodicMaid,Azazelle,Fine-tuned,7.0,7–<15B
Azazelle/Tippy-Toppy-7b,Azazelle,Fine-tuned,7.0,7–<15B
Azazelle/Yuna-7b-Merge,Azazelle,Fine-tuned,7.0,7–<15B
Azazelle/smol_bruin-7b,Azazelle,Fine-tuned,7.0,7–<15B
Azazelle/xDAN-SlimOrca,Azazelle,Fine-tuned,7.0,7–<15B
Azure99/blossom-v2-3b,Azure99,Fine-tuned,3.0,3–<7B
Azure99/blossom-v2-llama2-7b,Azure99,Chat/post-trained,7.0,7–<15B
Azure99/blossom-v3_1-yi-34b,Azure99,Fine-tuned,34.0,15–<40B
Azure99/blossom-v4-mistral-7b,Azure99,Fine-tuned,7.0,7–<15B
Azure99/blossom-v4-qwen1_5-14b,Azure99,Chat/post-trained,14.0,7–<15B
Azure99/blossom-v4-qwen1_5-4b,Azure99,Chat/post-trained,3.0,3–<7B
Azure99/blossom-v4-qwen1_5-7b,Azure99,Chat/post-trained,7.0,7–<15B
Azure99/blossom-v4-yi-34b,Azure99,Chat/post-trained,34.0,15–<40B
Azure99/blossom-v5-14b,Azure99,Chat/post-trained,14.0,7–<15B
Azure99/blossom-v5-32b,Azure99,Chat/post-trained,32.0,15–<40B
Azure99/blossom-v5-34b,Azure99,Chat/post-trained,34.0,15–<40B
Azure99/blossom-v5-4b,Azure99,Chat/post-trained,3.0,3–<7B
Azure99/blossom-v5-7b,Azure99,Chat/post-trained,7.0,7–<15B
Azure99/blossom-v5-9b,Azure99,Chat/post-trained,8.0,7–<15B
Azure99/blossom-v5-llama3-8b,Azure99,Chat/post-trained,8.0,7–<15B
Azure99/blossom-v5-mistral-7b,Azure99,Chat/post-trained,7.0,7–<15B
Azure99/blossom-v5.1-34b,Azure99,Fine-tuned,34.0,15–<40B
BAAI/Aquila2-34B,BAAI,Fine-tuned,34.0,15–<40B
BEE-spoke-data/Meta-Llama-3-8Bee,BEE-spoke-data,Continually pretrained,8.0,7–<15B
BEE-spoke-data/Mixtral-GQA-400m-v2,BEE-spoke-data,Pretrained,2.0,<3B
BEE-spoke-data/TinyLlama-1.1bee,BEE-spoke-data,Fine-tuned,1.0,<3B
