repo,family
open-llm-leaderboard-old/details_ABX-AI__Quantum-Citrus-9B,ABX-AI
open-llm-leaderboard-old/details_AGI-0__llamaster-8B-v0.1,AGI-0
open-llm-leaderboard-old/details_AA051611__O0201,AA051611
open-llm-leaderboard-old/details_ABX-AI__Silver-Sun-v2-11B,ABX-AI
open-llm-leaderboard-old/details_AA051611__V0202,AA051611
open-llm-leaderboard-old/details_AGI-inc__lora_moe_7b_baseline,AGI-inc
open-llm-leaderboard-old/details_AGI-0__ThetaWave-7B-v0.1,AGI-0
open-llm-leaderboard-old/details_ABX-AI__Spicy-Laymonade-7B,ABX-AI
open-llm-leaderboard-old/details_AI-B__UTENA-7B-NSFW-V2,AI-B
open-llm-leaderboard-old/details_AGI-inc__lora_moe_7b,AGI-inc
open-llm-leaderboard-old/details_AI-B__UTENA-7B-V3,AI-B
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-126m,AI-Sweden-Models
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-126m-instruct,AI-Sweden-Models
open-llm-leaderboard-old/details_AA051615__A0204,AA051615
open-llm-leaderboard-old/details_8xqmff94__pooled_gqa_prime,8xqmff94
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-1.3b-instruct,AI-Sweden-Models
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-6.7b,AI-Sweden-Models
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-20b-instruct,AI-Sweden-Models
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-20b,AI-Sweden-Models
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-40b,AI-Sweden-Models
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-356m-instruct,AI-Sweden-Models
open-llm-leaderboard-old/details_AIChenKai__TinyLlama-1.1B-Chat-v1.0-x2-MoE,AIChenKai
open-llm-leaderboard-old/details_AIDC-ai-business__Marcoroni-7B,AIDC-ai-business
open-llm-leaderboard-old/details_AIDC-ai-business__Marcoroni-70B-v1,AIDC-ai-business
open-llm-leaderboard-old/details_AIDC-ai-business__Marcoroni-7B-v2,AIDC-ai-business
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-6.7b-v2,AI-Sweden-Models
open-llm-leaderboard-old/details_AIDC-ai-business__Marcoroni-70B,AIDC-ai-business
open-llm-leaderboard-old/details_AIDC-ai-business__Marcoroni-7B-v3,AIDC-ai-business
open-llm-leaderboard-old/details_AIGym__TinyLlama-1.1B-2.5T-chat,AIGym
open-llm-leaderboard-old/details_AIGym__Llama-2-7b-chat-hf-structured-responses,AIGym
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-1.3b,AI-Sweden-Models
open-llm-leaderboard-old/details_AIJUUD__juud-Mistral-7B,AIJUUD
open-llm-leaderboard-old/details_AIGym__deepseek-coder-6.7b-chat-and-function-calling,AIGym
open-llm-leaderboard-old/details_AIGym__TinyLlama-1.1B-2.5T-chat-and-function-calling,AIGym
open-llm-leaderboard-old/details_AIGym__deepseek-coder-1.3b-chat,AIGym
open-llm-leaderboard-old/details_AIGym__deepseek-coder-6.7b-chat,AIGym
open-llm-leaderboard-old/details_AIGym__deepseek-coder-1.3b-chat-and-function-calling,AIGym
open-llm-leaderboard-old/details_ALBADDAWI__DeepCode-7B-Aurora,ALBADDAWI
open-llm-leaderboard-old/details_AIJUUD__juud-Mistral-7B-dpo,AIJUUD
open-llm-leaderboard-old/details_ALBADDAWI__DeepCode-7B-Aurora-v12,ALBADDAWI
open-llm-leaderboard-old/details_ALBADDAWI__DeepCode-7B-Aurora-v13,ALBADDAWI
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-356m,AI-Sweden-Models
open-llm-leaderboard-old/details_ALBADDAWI__DeepCode-7B-Aurora-v2,ALBADDAWI
open-llm-leaderboard-old/details_ALBADDAWI__DeepCode-7B-Aurora-v3,ALBADDAWI
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-6.7b-v2-instruct,AI-Sweden-Models
open-llm-leaderboard-old/details_APMIC__caigun-lora-model-34B-v2,APMIC
open-llm-leaderboard-old/details_APMIC__caigun-lora-model-33B,APMIC
open-llm-leaderboard-old/details_AIDC-ai-business__Marcoroni-13B,AIDC-ai-business
open-llm-leaderboard-old/details_AbacusResearch__Jallabi-34B,AbacusResearch
open-llm-leaderboard-old/details_APMIC__caigun-lora-model-34B-v3,APMIC
open-llm-leaderboard-old/details_Aabbhishekk__llama2-7b-function-calling-slerp,Aabbhishekk
open-llm-leaderboard-old/details_AbacusResearch__haLLAwa3,AbacusResearch
open-llm-leaderboard-old/details_AbacusResearch__jaLLAbi,AbacusResearch
open-llm-leaderboard-old/details_Aabbhishekk__TinyLlama-1.1B-miniguanaco,Aabbhishekk
open-llm-leaderboard-old/details_AbacusResearch__haLLawa4-7b,AbacusResearch
open-llm-leaderboard-old/details_AbacusResearch__jaLLAbi2-7b,AbacusResearch
open-llm-leaderboard-old/details_AbacusResearch__RasGulla1-7b,AbacusResearch
open-llm-leaderboard-old/details_AIGeekLabs__radiantloom-mixtral-8x7b-fusion,AIGeekLabs
open-llm-leaderboard-old/details_Abe13__juniper-certificate-Llama-2-7b-chat-hf,Abe13
open-llm-leaderboard-old/details_Abhaykoul__HelpingAI-Lite-4x1b,Abhaykoul
open-llm-leaderboard-old/details_Abhaykoul__HelpingAI-3B,Abhaykoul
open-llm-leaderboard-old/details_Abhaykoul__OEvortex,Abhaykoul
open-llm-leaderboard-old/details_Abhaykoul__Qwen1.5-0.5B-vortex,Abhaykoul
open-llm-leaderboard-old/details_Abhaykoul__Qwen1.5-0.5B-vortex-v2,Abhaykoul
open-llm-leaderboard-old/details_Abhaykoul__qwen1.5-vortex,Abhaykoul
open-llm-leaderboard-old/details_Abhaykoul__vortex2,Abhaykoul
open-llm-leaderboard-old/details_AdaptLLM__finance-chat,AdaptLLM
open-llm-leaderboard-old/details_Abhinav7__NeuralPipe-7B-slerp,Abhinav7
open-llm-leaderboard-old/details_Abhaykoul__MediKAI,Abhaykoul
open-llm-leaderboard-old/details_AdaptLLM__law-chat,AdaptLLM
open-llm-leaderboard-old/details_Abhaykoul__EMO-1B,Abhaykoul
open-llm-leaderboard-old/details_AdaptLLM__medicine-chat,AdaptLLM
open-llm-leaderboard-old/details_Aeala__GPT4-x-AlpacaDente2-30b,Aeala
open-llm-leaderboard-old/details_Aeala__GPT4-x-AlpacaDente-30b,Aeala
open-llm-leaderboard-old/details_AlanRobotics__nanobot_v1,AlanRobotics
open-llm-leaderboard-old/details_Aeala__GPT4-x-Alpasta-13b,Aeala
open-llm-leaderboard-old/details_AetherResearch__Cerebrum-1.0-7b,AetherResearch
open-llm-leaderboard-old/details_AGI-0__Magistral-7B-v0.1,AGI-0
open-llm-leaderboard-old/details_AbacusResearch__haLLAwa2,AbacusResearch
open-llm-leaderboard-old/details_AetherResearch__Cerebrum-1.0-8x7b,AetherResearch
open-llm-leaderboard-old/details_AiMavenAi__AiMaven-Prometheus,AiMavenAi
open-llm-leaderboard-old/details_AiMavenAi__AiMaven-SmartDawg-7b,AiMavenAi
open-llm-leaderboard-old/details_Alsebay__Kilo-2x8B,Alsebay
open-llm-leaderboard-old/details_Alsebay__L3-krai-test-2,Alsebay
open-llm-leaderboard-old/details_AiMavenAi__MavenWest,AiMavenAi
open-llm-leaderboard-old/details_AlanRobotics__nanit,AlanRobotics
open-llm-leaderboard-old/details_Alsebay__Lorge-2x7B-UAMM,Alsebay
open-llm-leaderboard-old/details_AlanRobotics__nanit_v3,AlanRobotics
open-llm-leaderboard-old/details_Alsebay__L3-test-2,Alsebay
open-llm-leaderboard-old/details_AiMavenAi__Prometheus-1.3,AiMavenAi
open-llm-leaderboard-old/details_AlekseyKorshuk__chatml-pyg-v1,AlekseyKorshuk
open-llm-leaderboard-old/details_Alsebay__Narumashi-11B-v0.9,Alsebay
open-llm-leaderboard-old/details_AlanRobotics__nanit_v2,AlanRobotics
open-llm-leaderboard-old/details_AlanRobotics__nanit_v1.1,AlanRobotics
open-llm-leaderboard-old/details_Alsebay__Narumashi-11B,Alsebay
open-llm-leaderboard-old/details_AlpinDale__pygmalion-instruct,AlpinDale
open-llm-leaderboard-old/details_AmberYifan__safe-spin-iter1-v2,AmberYifan
open-llm-leaderboard-old/details_AllyArc__llama_allyarc,AllyArc
open-llm-leaderboard-old/details_AlanRobotics__nanit_v3.2,AlanRobotics
open-llm-leaderboard-old/details_Alsebay__new-turn-2,Alsebay
open-llm-leaderboard-old/details_AlekseyKorshuk__pygmalion-6b-vicuna-chatml,AlekseyKorshuk
open-llm-leaderboard-old/details_AlekseyKorshuk__vic15-exp-syn-fight-cp3838,AlekseyKorshuk
open-llm-leaderboard-old/details_Amu__dpo-qlora-Qwen1.5-0.5B-Chat-xtuner,Amu
open-llm-leaderboard-old/details_Amu__dpo-Qwen1.5-0.5B-Chat-alignment-handbook,Amu
open-llm-leaderboard-old/details_Alsebay__Narumashi-RT-11B-test,Alsebay
open-llm-leaderboard-old/details_AmberYifan__test-spin-lora-iter1,AmberYifan
open-llm-leaderboard-old/details_Alsebay__NarumashiRTS-V1,Alsebay
open-llm-leaderboard-old/details_AmberYifan__test-spin-lora-iter2,AmberYifan
open-llm-leaderboard-old/details_AmberYifan__test-spin-lora-iter0,AmberYifan
open-llm-leaderboard-old/details_Alsebay__L3-krai-test,Alsebay
open-llm-leaderboard-old/details_Aratako__Mixtral-8x7B-Instruct-v0.1-upscaled,Aratako
open-llm-leaderboard-old/details_Antonio88__TaliML-7B-ITA-V.1.0.FINAL,Antonio88
open-llm-leaderboard-old/details_Antonio88__TaliML-7B-V.1-ENG,Antonio88
open-llm-leaderboard-old/details_ArianAskari__SOLID-SFT-DPO-MixQV2-SOLIDChosen-SFTRejected-Zephyr-7b-beta,ArianAskari
open-llm-leaderboard-old/details_Aratako__Qwen1.5-MoE-2x7B,Aratako
open-llm-leaderboard-old/details_Aratako__c4ai-command-r-v01-japanese-instruct,Aratako
open-llm-leaderboard-old/details_ArianAskari__NeuralHermes-2.5-Mistral-7B,ArianAskari
open-llm-leaderboard-old/details_ArianAskari__SOLID-SFT-DPO-MixQV3-SOLIDChosen-SFTRejected-Zephyr-7b-beta,ArianAskari
open-llm-leaderboard-old/details_Aratako__Beyonder-4x7B-random-lora,Aratako
open-llm-leaderboard-old/details_ArianAskari__SOLID-SFT-DPO-MixQV3-SOLIDRejected-SFTChosen-Zephyr-7b-beta,ArianAskari
open-llm-leaderboard-old/details_ArianAskari__SOLID-SFT-DPO-MixQV2-SOLIDRejected-SFTChosen-Zephyr-7b-beta,ArianAskari
open-llm-leaderboard-old/details_ArianAskari__SOLID-SFT-WoDPO-MixQV2-Zephyr-7b-beta,ArianAskari
open-llm-leaderboard-old/details_Artples__L-MChat-Small,Artples
open-llm-leaderboard-old/details_ArianAskari__SOLID_SFT-WoDPO-WoMixQ,ArianAskari
open-llm-leaderboard-old/details_Aryanne__MixSwap,Aryanne
open-llm-leaderboard-old/details_Aryanne__Open-StarLake-Swap-7B,Aryanne
open-llm-leaderboard-old/details_Aryanne__WestSenzu-Swap-7B,Aryanne
open-llm-leaderboard-old/details_Aryanne__YarnLake-Swap-7B,Aryanne
open-llm-leaderboard-old/details_Aryanne__sheared-plus-westlake-nearest-50_75p,Aryanne
open-llm-leaderboard-old/details_Aryanne__Westest-7B,Aryanne
open-llm-leaderboard-old/details_Aryanne__TinyllamaMix-1.1B,Aryanne
open-llm-leaderboard-old/details_Aryanne__sheared-plus-westlake-50_75p,Aryanne
open-llm-leaderboard-old/details_Aryanne__sheared-plus-westlake-normal,Aryanne
open-llm-leaderboard-old/details_Alsebay__NarumashiRTS-V2,Alsebay
open-llm-leaderboard-old/details_Aryanne__sheared-silicon10p,Aryanne
open-llm-leaderboard-old/details_Aspik101__Llama-2-7b-hf-instruct-pl-lora_unload,Aspik101
open-llm-leaderboard-old/details_Aspik101__Nous-Hermes-13b-pl-lora_unload,Aspik101
open-llm-leaderboard-old/details_Aspik101__Redmond-Puffin-13B-instruct-PL-lora_unload,Aspik101
open-llm-leaderboard-old/details_Aspik101__StableBeluga-13B-instruct-PL-lora_unload,Aspik101
open-llm-leaderboard-old/details_Aspik101__Vicuzard-30B-Uncensored-instruct-PL-lora_unload,Aspik101
open-llm-leaderboard-old/details_Aspik101__llama-30b-2048-instruct-PL-lora_unload,Aspik101
open-llm-leaderboard-old/details_Aspik101__llama-30b-instruct-2048-PL-lora,Aspik101
open-llm-leaderboard-old/details_Aspik101__WizardVicuna-Uncensored-3B-instruct-PL-lora_unload,Aspik101
open-llm-leaderboard-old/details_Aspik101__trurl-2-7b-pl-instruct_unload,Aspik101
open-llm-leaderboard-old/details_Aspik101__trurl-2-13b-pl-instruct_unload,Aspik101
open-llm-leaderboard-old/details_Aspik101__vicuna-13b-v1.5-PL-lora_unload,Aspik101
open-llm-leaderboard-old/details_ArtMindia__artmindia3k,ArtMindia
open-llm-leaderboard-old/details_Aspik101__vicuna-7b-v1.3-instruct-pl-lora_unload,Aspik101
open-llm-leaderboard-old/details_Artples__L-MChat-7b,Artples
open-llm-leaderboard-old/details_AwanLLM__Awanllm-Llama-3-8B-Dolfin-v0.6-Abliterated,AwanLLM
open-llm-leaderboard-old/details_AwanLLM__Awanllm-Llama-3-8B-Dolfin-v0.3,AwanLLM
open-llm-leaderboard-old/details_AtAndDev__ShortKing-3b-v0.3,AtAndDev
open-llm-leaderboard-old/details_AwanLLM__Awanllm-Llama-3-8B-Dolfin-v0.3-DPO,AwanLLM
open-llm-leaderboard-old/details_AwanLLM__Awanllm-Llama-3-8B-Cumulus-v0.2,AwanLLM
open-llm-leaderboard-old/details_Artples__M-LChat-7b,Artples
open-llm-leaderboard-old/details_AtAndDev__Ogno-Monarch-Neurotic-9B-Passthrough,AtAndDev
open-llm-leaderboard-old/details_AtAndDev__Ogno-Monarch-Neurotic-7B-Dare-Ties,AtAndDev
open-llm-leaderboard-old/details_AtAndDev__ShortKingv0.1,AtAndDev
open-llm-leaderboard-old/details_Aryanne__ereb-test,Aryanne
open-llm-leaderboard-old/details_AwanLLM__Awanllm-Llama-3-8B-Instruct-DPO-v0.1,AwanLLM
open-llm-leaderboard-old/details_AwanLLM__Awanllm-Llama-3-8B-Instruct-DPO-v0.2,AwanLLM
open-llm-leaderboard-old/details_AurelPx__NeuralPipe-7B-slerp,AurelPx
open-llm-leaderboard-old/details_AurelPx__Meliodas-7b-dare,AurelPx
open-llm-leaderboard-old/details_AwanLLM__Awanllm-Llama-3-8B-Instruct-ORPO-v0.1,AwanLLM
open-llm-leaderboard-old/details_AwanLLM__Llama-3-8B-Cumulus-v0.1,AwanLLM
open-llm-leaderboard-old/details_AtAndDev__CapybaraMarcoroni-7B,AtAndDev
open-llm-leaderboard-old/details_AwanLLM__Llama-3-8B-Dolfin-v0.2-Instruct,AwanLLM
open-llm-leaderboard-old/details_AwanLLM__Meta-Llama-3-8B-Instruct-Dolfin-v0.1,AwanLLM
open-llm-leaderboard-old/details_Azazelle__L3-RP_io,Azazelle
open-llm-leaderboard-old/details_AurelPx__Percival_01-7b-slerp,AurelPx
open-llm-leaderboard-old/details_AurelPx__Pegasus-7b-slerp,AurelPx
open-llm-leaderboard-old/details_Austism__chronos-hermes-13b-v2,Austism
open-llm-leaderboard-old/details_Azazelle__Half-NSFW_Noromaid-7b,Azazelle
open-llm-leaderboard-old/details_Azazelle__Bianca-7b,Azazelle
open-llm-leaderboard-old/details_Azazelle__Dumb-Maidlet,Azazelle
open-llm-leaderboard-old/details_Azazelle__Argetsu,Azazelle
open-llm-leaderboard-old/details_Azazelle__Sina-Loki-7b-Merge,Azazelle
open-llm-leaderboard-old/details_Azazelle__Mocha-SR-7b-ex,Azazelle
open-llm-leaderboard-old/details_Azazelle__Sina-Thor-7b-Merge,Azazelle
open-llm-leaderboard-old/details_Azazelle__Maylin-7b,Azazelle
open-llm-leaderboard-old/details_Azazelle__Sina-Odin-7b-Merge,Azazelle
open-llm-leaderboard-old/details_Azazelle__Silicon-Medley,Azazelle
open-llm-leaderboard-old/details_Azazelle__Moko-SAMPLE,Azazelle
open-llm-leaderboard-old/details_Azazelle__Moko-DARE,Azazelle
open-llm-leaderboard-old/details_Azazelle__Mocha-Dare-7b-ex,Azazelle
open-llm-leaderboard-old/details_Azazelle__SlimMelodicMaid,Azazelle
open-llm-leaderboard-old/details_Azazelle__Tippy-Toppy-7b,Azazelle
open-llm-leaderboard-old/details_Azazelle__Yuna-7b-Merge,Azazelle
open-llm-leaderboard-old/details_Azazelle__Mocha-Sample-7b-ex,Azazelle
open-llm-leaderboard-old/details_Azazelle__smol_bruin-7b,Azazelle
open-llm-leaderboard-old/details_Azure99__blossom-v5-32b,Azure99
open-llm-leaderboard-old/details_Azazelle__xDAN-SlimOrca,Azazelle
open-llm-leaderboard-old/details_Azure99__blossom-v2-3b,Azure99
open-llm-leaderboard-old/details_Azure99__blossom-v2-llama2-7b,Azure99
open-llm-leaderboard-old/details_Azure99__blossom-v4-qwen1_5-14b,Azure99
open-llm-leaderboard-old/details_Azure99__blossom-v4-qwen1_5-4b,Azure99
open-llm-leaderboard-old/details_Azure99__blossom-v4-mistral-7b,Azure99
open-llm-leaderboard-old/details_Azure99__blossom-v5.1-34b,Azure99
open-llm-leaderboard-old/details_Azure99__blossom-v5-14b,Azure99
open-llm-leaderboard-old/details_Azure99__blossom-v5-34b,Azure99
open-llm-leaderboard-old/details_BEE-spoke-data__Meta-Llama-3-8Bee,BEE-spoke-data
open-llm-leaderboard-old/details_Azure99__blossom-v4-yi-34b,Azure99
open-llm-leaderboard-old/details_Azure99__blossom-v5-4b,Azure99
open-llm-leaderboard-old/details_Azure99__blossom-v5-9b,Azure99
open-llm-leaderboard-old/details_Azure99__blossom-v5-llama3-8b,Azure99
open-llm-leaderboard-old/details_Azure99__blossom-v4-qwen1_5-7b,Azure99
open-llm-leaderboard-old/details_Azure99__blossom-v5-mistral-7b,Azure99
open-llm-leaderboard-old/details_BEE-spoke-data__smol_llama-101M-GQA,BEE-spoke-data
open-llm-leaderboard-old/details_BEE-spoke-data__verysmol_llama-v11-KIx2,BEE-spoke-data
open-llm-leaderboard-old/details_BEE-spoke-data__smol_llama-220M-open_instruct,BEE-spoke-data
open-llm-leaderboard-old/details_BEE-spoke-data__smol_llama-81M-tied,BEE-spoke-data
open-llm-leaderboard-old/details_BAAI__Aquila2-34B,BAAI
open-llm-leaderboard-old/details_BEE-spoke-data__smol_llama-220M-GQA,BEE-spoke-data
open-llm-leaderboard-old/details_BEE-spoke-data__zephyr-220m-sft-full,BEE-spoke-data
open-llm-leaderboard-old/details_BEE-spoke-data__smol_llama-220M-openhermes,BEE-spoke-data
open-llm-leaderboard-old/details_BEE-spoke-data__zephyr-220m-dpo-full,BEE-spoke-data
open-llm-leaderboard-old/details_BELLE-2__BELLE-Llama2-13B-chat-0.4M,BELLE-2
open-llm-leaderboard-old/details_BEE-spoke-data__TinyLlama-1.1bee,BEE-spoke-data
open-llm-leaderboard-old/details_Azure99__blossom-v3_1-yi-34b,Azure99
open-llm-leaderboard-old/details_BFauber__base_7b,BFauber
open-llm-leaderboard-old/details_BFauber__lora_llama2-13b_10e4,BFauber
open-llm-leaderboard-old/details_BEE-spoke-data__TinyLlama-3T-1.1bee,BEE-spoke-data
open-llm-leaderboard-old/details_BFauber__lora_llama2-13b_10e5_r128_a16,BFauber
open-llm-leaderboard-old/details_BFauber__lora_llama2-13b_10e5_attn_only,BFauber
open-llm-leaderboard-old/details_Azure99__blossom-v5-7b,Azure99
open-llm-leaderboard-old/details_AurelPx__Dare-k-7B-ties,AurelPx
open-llm-leaderboard-old/details_BFauber__lora_llama2-13b_10e5,BFauber
open-llm-leaderboard-old/details_BFauber__lora_llama2-13b_10e5_r2_a64,BFauber
open-llm-leaderboard-old/details_BFauber__lora_llama2-13b_10e5_r2_a256,BFauber
open-llm-leaderboard-old/details_BFauber__lora_llama2-13b_10e5_r128_a4,BFauber
open-llm-leaderboard-old/details_BFauber__lora_llama2-13b_10e5_r128_a64,BFauber
open-llm-leaderboard-old/details_BFauber__lora_llama2-13b_10e5_r128_a256,BFauber
open-llm-leaderboard-old/details_BFauber__lora_llama2-13b_10e5_r32_a256,BFauber
open-llm-leaderboard-old/details_BFauber__lora_llama2-13b_10e5_r2_a16,BFauber
open-llm-leaderboard-old/details_BFauber__lora_llama2-13b_10e5_r32_a16,BFauber
open-llm-leaderboard-old/details_BFauber__lora_llama2-13b_10e5_r32_a4,BFauber
open-llm-leaderboard-old/details_BFauber__lora_llama2-13b_10e5_r2_a4,BFauber
open-llm-leaderboard-old/details_BFauber__lora_llama2-13b_10e5_r32_a64,BFauber
open-llm-leaderboard-old/details_BFauber__lora_llama2-13b_10e5_r8_a256,BFauber
open-llm-leaderboard-old/details_BFauber__lora_llama2-13b_10e5_r8_a16,BFauber
open-llm-leaderboard-old/details_BFauber__lora_llama2-13b_10e5_r8_a4,BFauber
open-llm-leaderboard-old/details_BFauber__lora_llama2-13b_10e5_r8_a64,BFauber
open-llm-leaderboard-old/details_64bits__LexPodLM-13B,64bits
open-llm-leaderboard-old/details_42dot__42dot_LLM-SFT-1.3B,42dot
open-llm-leaderboard-old/details_AA051610__C0325-L,AA051610
open-llm-leaderboard-old/details_AA051610__VA,AA051610
