repo,model_name,model_type,weight_type,precision,params_B,source_field:Type
open-llm-leaderboard-old/details_0x7194633__nanoFialka-v1,0x7194633__nanoFialka-v1,"💬 chat models (RLHF, DPO, IFT, ...)",Original,float16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0x7o__BulgakovLM-3B,0x7o__BulgakovLM-3B,🟢 pretrained,Original,float16,2,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_152334H__miqu-1-70b-sf,152334H__miqu-1-70b-sf,"💬 chat models (RLHF, DPO, IFT, ...)",Original,float16,68,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_1TuanPham__T-Llama,1TuanPham__T-Llama,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,6,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_222gate__Blur-4x7b-MOE-v0.1,222gate__Blur-4x7b-MOE-v0.1,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,24,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_222gate__Blurdus-7b-v0.1,222gate__Blurdus-7b-v0.1,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_222gate__Blurred-Beagle-7b-slerp,222gate__Blurred-Beagle-7b-slerp,"💬 chat models (RLHF, DPO, IFT, ...)",Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_222gate__BrurryDog-7b-v0.1,222gate__BrurryDog-7b-v0.1,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_222gate__TinyMistral-248Mx4-MOE,222gate__TinyMistral-248Mx4-MOE,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_222gate__bleagle-7b-v0.1-test,222gate__bleagle-7b-v0.1-test,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_222limin__Liph-36-imatwarwithmyself,222limin__Liph-36-imatwarwithmyself,🔶 fine-tuned on domain-specific datasets,Original,float16,2,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_22h__open-cabrita3b,22h__open-cabrita3b,🔶 fine-tuned on domain-specific datasets,Original,float16,3,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_42MARU__sitebunny-13b,42MARU__sitebunny-13b,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,12,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_42dot__42dot_LLM-PLM-1.3B,42dot__42dot_LLM-PLM-1.3B,🔶 fine-tuned on domain-specific datasets,Original,float16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_42dot__42dot_LLM-SFT-1.3B,42dot__42dot_LLM-SFT-1.3B,"💬 chat models (RLHF, DPO, IFT, ...)",Original,float16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_4season__alignment-model-test10,4season__alignment-model-test10,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,21,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_4season__alignment-model-test3,4season__alignment-model-test3,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,21,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_4season__alignment-model-test9,4season__alignment-model-test9,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,21,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_4season__alignment_model_test,4season__alignment_model_test,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,21,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_4season__final_model_test_v2,4season__final_model_test_v2,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,21,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_4season__merge_model_test_v2,4season__merge_model_test_v2,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,21,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_4season__sft_model_test1,4season__sft_model_test1,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,21,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_64bits__LexPodLM-13B,64bits__LexPodLM-13B,🔶 fine-tuned on domain-specific datasets,Original,float16,64,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_8Xqmff94__pooled_gqa_mix_chatml,8Xqmff94__pooled_gqa_mix_chatml,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,30,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_8xqmff94__pooled_gqa_chat,8xqmff94__pooled_gqa_chat,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,30,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_8xqmff94__pooled_gqa_math,8xqmff94__pooled_gqa_math,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,30,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_8xqmff94__pooled_gqa_mix,8xqmff94__pooled_gqa_mix,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,30,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_8xqmff94__pooled_gqa_mix_chatml_sft,8xqmff94__pooled_gqa_mix_chatml_sft,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,30,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_8xqmff94__pooled_gqa_prime,8xqmff94__pooled_gqa_prime,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,30,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_8xqmff94__pooled_gqa_raw,8xqmff94__pooled_gqa_raw,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,30,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_8xqmff94__slm,8xqmff94__slm,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_922-CA__Llama-3-monika-ddlc-8b-v1,922-CA__Llama-3-monika-ddlc-8b-v1,🔶 fine-tuned on domain-specific datasets,Original,float16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_922-CA__Llama-3-natsuki-ddlc-8b-v1,922-CA__Llama-3-natsuki-ddlc-8b-v1,🔶 fine-tuned on domain-specific datasets,Original,float16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_922-CA__monika-ddlc-7b-v1,922-CA__monika-ddlc-7b-v1,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_922-CA__monika-ddlc-8b-v1,922-CA__monika-ddlc-8b-v1,🔶 fine-tuned on domain-specific datasets,Original,float16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_922CA__Llama-3-monika-ddlc-11.5b-v1,922CA__Llama-3-monika-ddlc-11.5b-v1,🔶 fine-tuned on domain-specific datasets,Original,float16,11,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_922CA__Silicon-Monika-7b,922CA__Silicon-Monika-7b,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_922CA__Silicon-Natsuki-7b,922CA__Silicon-Natsuki-7b,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_922CA__monika-ddlc-8b-v1,922CA__monika-ddlc-8b-v1,🔶 fine-tuned on domain-specific datasets,Original,float16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051610__A0105,AA051610__A0105,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051610__A0106,AA051610__A0106,🔶 fine-tuned on domain-specific datasets,Original,float16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051610__A0120,AA051610__A0120,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051610__A0121,AA051610__A0121,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051610__A0127,AA051610__A0127,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051610__A11P,AA051610__A11P,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051610__A12P,AA051610__A12P,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051610__A13,AA051610__A13,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051610__AZG,AA051610__AZG,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051610__C0318-G,AA051610__C0318-G,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051610__C0322-reft,AA051610__C0322-reft,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051610__C0325-L,AA051610__C0325-L,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051610__FT,AA051610__FT,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051610__O0128,AA051610__O0128,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051610__Q,AA051610__Q,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051610__testtest,AA051610__testtest,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051611__A0109,AA051611__A0109,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051611__A0110,AA051611__A0110,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051611__A0113,AA051611__A0113,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051611__A0118,AA051611__A0118,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051611__A0119,AA051611__A0119,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051611__O0201,AA051611__O0201,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051611__V0201,AA051611__V0201,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051611__V0202,AA051611__V0202,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051611__limb,AA051611__limb,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051611__whattest,AA051611__whattest,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051612__A0123,AA051612__A0123,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051612__A0124,AA051612__A0124,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051612__A0125,AA051612__A0125,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051612__A0126,AA051612__A0126,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051612__B0121,AA051612__B0121,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051612__B0122,AA051612__B0122,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051615__A0204,AA051615__A0204,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051615__A0221,AA051615__A0221,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051615__A0304,AA051615__A0304,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051615__A0305a,AA051615__A0305a,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051615__A0306,AA051615__A0306,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051615__A0308-G,AA051615__A0308-G,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051615__L0223,AA051615__L0223,🔶 fine-tuned on domain-specific datasets,Adapter,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AA051615__L0225,AA051615__L0225,🔶 fine-tuned on domain-specific datasets,Adapter,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_ABX-AI__Infinite-Laymons-9B,ABX-AI__Infinite-Laymons-9B,🤝 base merges and moerges,Original,float16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_ABX-AI__Quantum-Citrus-9B,ABX-AI__Quantum-Citrus-9B,🤝 base merges and moerges,Original,float16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_ABX-AI__Silver-Sun-11B,ABX-AI__Silver-Sun-11B,🤝 base merges and moerges,Original,float16,10,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_ABX-AI__Silver-Sun-v2-11B,ABX-AI__Silver-Sun-v2-11B,🤝 base merges and moerges,Original,float16,10,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_ABX-AI__Spicy-Laymonade-7B,ABX-AI__Spicy-Laymonade-7B,🤝 base merges and moerges,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AGI-0__Magistral-7B-v0.1,AGI-0__Magistral-7B-v0.1,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AGI-0__ThetaWave-7B-v0.1,AGI-0__ThetaWave-7B-v0.1,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AGI-0__llamaster-8B-v0.1,AGI-0__llamaster-8B-v0.1,"💬 chat models (RLHF, DPO, IFT, ...)",Original,float16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AI-B__UTENA-7B-NSFW-V2,AI-B__UTENA-7B-NSFW-V2,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AI-B__UTENA-7B-V3,AI-B__UTENA-7B-V3,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-1.3b,AI-Sweden-Models__gpt-sw3-1.3b,🟢 pretrained,Original,bfloat16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-1.3b-instruct,AI-Sweden-Models__gpt-sw3-1.3b-instruct,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-126m,AI-Sweden-Models__gpt-sw3-126m,🟢 pretrained,Original,float16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-126m-instruct,AI-Sweden-Models__gpt-sw3-126m-instruct,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-20b,AI-Sweden-Models__gpt-sw3-20b,🟢 pretrained,Original,bfloat16,20,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-20b-instruct,AI-Sweden-Models__gpt-sw3-20b-instruct,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,20,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-356m,AI-Sweden-Models__gpt-sw3-356m,🟢 pretrained,Original,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-356m-instruct,AI-Sweden-Models__gpt-sw3-356m-instruct,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,0,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-40b,AI-Sweden-Models__gpt-sw3-40b,🟢 pretrained,Original,float16,39,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-6.7b,AI-Sweden-Models__gpt-sw3-6.7b,🟢 pretrained,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-6.7b-v2,AI-Sweden-Models__gpt-sw3-6.7b-v2,🟢 pretrained,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AI-Sweden-Models__gpt-sw3-6.7b-v2-instruct,AI-Sweden-Models__gpt-sw3-6.7b-v2-instruct,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AIChenKai__TinyLlama-1.1B-Chat-v1.0-x2-MoE,AIChenKai__TinyLlama-1.1B-Chat-v1.0-x2-MoE,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AIDC-ai-business__Marcoroni-70B-v1,AIDC-ai-business__Marcoroni-70B-v1,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,68,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AIDC-ai-business__Marcoroni-7B-v2,AIDC-ai-business__Marcoroni-7B-v2,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AIDC-ai-business__Marcoroni-7B-v3,AIDC-ai-business__Marcoroni-7B-v3,🔶 fine-tuned on domain-specific datasets,Original,float16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AIGeekLabs__radiantloom-mixtral-8x7b-fusion,AIGeekLabs__radiantloom-mixtral-8x7b-fusion,🟢 pretrained,Original,float16,46,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AIGym__Llama-2-7b-chat-hf-structured-responses,AIGym__Llama-2-7b-chat-hf-structured-responses,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,6,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AIGym__TinyLlama-1.1B-2.5T-chat,AIGym__TinyLlama-1.1B-2.5T-chat,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AIGym__TinyLlama-1.1B-2.5T-chat-and-function-calling,AIGym__TinyLlama-1.1B-2.5T-chat-and-function-calling,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AIGym__deepseek-coder-1.3b-chat,AIGym__deepseek-coder-1.3b-chat,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,1,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_AIGym__deepseek-coder-1.3b-chat-and-function-calling,AIGym__deepseek-coder-1.3b-chat-and-function-calling,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,1,open-llm-leaderboard-old/contents
