model_id,org_id,n_valid_F,n_valid_C,n_valid_target,eligible,reasons
222limin/Liph-36-imatwarwithmyself,222limin,586,584,9586,True,
22h/open-cabrita3b,22h,586,584,9586,True,
42MARU/sitebunny-13b,42MARU,586,584,9586,True,
42dot/42dot_LLM-PLM-1.3B,42dot,586,584,9586,True,
42dot/42dot_LLM-SFT-1.3B,42dot,586,584,9586,True,
4season/alignment-model-test10,4season,586,584,9586,True,
4season/alignment-model-test3,4season,586,584,9586,True,
4season/alignment-model-test9,4season,586,584,9586,True,
4season/alignment_model_test,4season,586,584,9586,True,
4season/final_model_test_v2,4season,586,584,9586,True,
4season/merge_model_test_v2,4season,586,584,9586,True,
4season/sft_model_test1,4season,586,584,9586,True,
64bits/LexPodLM-13B,64bits,586,584,9586,True,
8Xqmff94/pooled_gqa_mix_chatml,8Xqmff94,586,584,9586,True,
8xqmff94/pooled_gqa_chat,8xqmff94,586,584,9586,True,
8xqmff94/pooled_gqa_math,8xqmff94,586,584,9586,True,
8xqmff94/pooled_gqa_mix,8xqmff94,586,584,9586,True,
8xqmff94/pooled_gqa_mix_chatml_sft,8xqmff94,586,584,9586,True,
8xqmff94/pooled_gqa_prime,8xqmff94,586,584,9586,True,
8xqmff94/pooled_gqa_raw,8xqmff94,586,584,9586,True,
8xqmff94/slm,8xqmff94,586,584,9586,True,
922-CA/Llama-3-monika-ddlc-8b-v1,922-CA,586,584,9586,True,
922-CA/Llama-3-natsuki-ddlc-8b-v1,922-CA,586,584,9586,True,
922-CA/monika-ddlc-7b-v1,922-CA,586,584,9586,True,
922-CA/monika-ddlc-8b-v1,922-CA,586,584,9586,True,
922CA/Llama-3-monika-ddlc-11.5b-v1,922CA,586,584,9586,True,
922CA/Silicon-Monika-7b,922CA,586,584,9586,True,
922CA/Silicon-Natsuki-7b,922CA,586,584,9586,True,
922CA/monika-ddlc-8b-v1,922CA,586,584,9586,True,
AA051610/A0105,AA051610,586,584,9586,True,
AA051610/A0106,AA051610,586,584,9586,True,
AA051610/A0120,AA051610,586,584,9586,True,
AA051610/A0121,AA051610,586,584,9586,True,
AA051610/A0127,AA051610,586,584,9586,True,
AA051610/A11P,AA051610,586,584,9586,True,
AA051610/A12P,AA051610,586,584,9586,True,
AA051610/A13,AA051610,586,584,9586,True,
AA051610/AZG,AA051610,586,584,9586,True,
AA051610/C0318-G,AA051610,586,584,9586,True,
AA051610/C0322-reft,AA051610,586,584,9586,True,
AA051610/C0325-L,AA051610,586,584,9586,True,
AA051610/FT,AA051610,586,584,9586,True,
AA051610/O0128,AA051610,586,584,9586,True,
AA051610/Q,AA051610,586,584,9586,True,
AA051610/T1B,AA051610,586,584,9586,True,
AA051610/T1C,AA051610,586,584,9586,True,
AA051610/T2A,AA051610,586,584,9586,True,
AA051610/VA,AA051610,586,584,9586,True,
AA051610/testtest,AA051610,586,584,9586,True,
AA051611/A0109,AA051611,586,584,9586,True,
AA051611/A0110,AA051611,586,584,9586,True,
AA051611/A0113,AA051611,586,584,9586,True,
AA051611/A0118,AA051611,586,584,9586,True,
AA051611/A0119,AA051611,586,584,9586,True,
AA051611/O0201,AA051611,586,584,9586,True,
AA051611/V0201,AA051611,586,584,9586,True,
AA051611/V0202,AA051611,586,584,9586,True,
AA051611/limb,AA051611,586,584,9586,True,
AA051611/whattest,AA051611,586,584,9586,True,
AA051612/A0123,AA051612,586,584,9586,True,
AA051612/A0124,AA051612,586,584,9586,True,
AA051612/A0125,AA051612,586,584,9586,True,
AA051612/A0126,AA051612,586,584,9586,True,
AA051612/B0121,AA051612,586,584,9586,True,
AA051612/B0122,AA051612,586,584,9586,True,
AA051615/A0204,AA051615,586,584,9586,True,
AA051615/A0221,AA051615,586,584,9586,True,
AA051615/A0304,AA051615,586,584,9586,True,
AA051615/A0305a,AA051615,586,584,9586,True,
AA051615/A0306,AA051615,586,584,9586,True,
AA051615/A0308-G,AA051615,586,584,9586,True,
AA051615/L0223,AA051615,586,584,9586,True,
AA051615/L0225,AA051615,586,584,9586,True,
ABX-AI/Infinite-Laymons-9B,ABX-AI,586,584,9586,True,
ABX-AI/Quantum-Citrus-9B,ABX-AI,586,584,9586,True,
ABX-AI/Silver-Sun-11B,ABX-AI,586,584,9586,True,
ABX-AI/Silver-Sun-v2-11B,ABX-AI,586,584,9586,True,
ABX-AI/Spicy-Laymonade-7B,ABX-AI,586,584,9586,True,
AGI-0/Magistral-7B-v0.1,AGI-0,586,584,9586,True,
AGI-0/ThetaWave-7B-v0.1,AGI-0,586,584,9586,True,
AGI-0/llamaster-8B-v0.1,AGI-0,586,584,9586,True,
AGI-inc/lora_moe_7b,AGI-inc,586,584,9586,True,
AGI-inc/lora_moe_7b_baseline,AGI-inc,586,584,9586,True,
AI-B/UTENA-7B-NSFW-V2,AI-B,586,584,9586,True,
AI-B/UTENA-7B-V3,AI-B,586,584,9586,True,
AI-Sweden-Models/gpt-sw3-1.3b,AI-Sweden-Models,586,584,9586,True,
AI-Sweden-Models/gpt-sw3-1.3b-instruct,AI-Sweden-Models,586,584,9586,True,
AI-Sweden-Models/gpt-sw3-126m,AI-Sweden-Models,586,584,9586,True,
AI-Sweden-Models/gpt-sw3-126m-instruct,AI-Sweden-Models,586,584,9586,True,
AI-Sweden-Models/gpt-sw3-20b,AI-Sweden-Models,586,584,9586,True,
AI-Sweden-Models/gpt-sw3-20b-instruct,AI-Sweden-Models,586,584,9586,True,
AI-Sweden-Models/gpt-sw3-356m,AI-Sweden-Models,586,584,9586,True,
AI-Sweden-Models/gpt-sw3-356m-instruct,AI-Sweden-Models,586,584,9586,True,
AI-Sweden-Models/gpt-sw3-40b,AI-Sweden-Models,586,584,9586,True,
AI-Sweden-Models/gpt-sw3-6.7b,AI-Sweden-Models,586,584,9586,True,
AI-Sweden-Models/gpt-sw3-6.7b-v2,AI-Sweden-Models,586,584,9586,True,
AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct,AI-Sweden-Models,586,584,9586,True,
AIChenKai/TinyLlama-1.1B-Chat-v1.0-x2-MoE,AIChenKai,586,584,9586,True,
AIDC-ai-business/Marcoroni-13B,AIDC-ai-business,586,584,9586,True,
AIDC-ai-business/Marcoroni-70B,AIDC-ai-business,469,473,4188,True,
AIDC-ai-business/Marcoroni-70B-v1,AIDC-ai-business,586,584,9586,True,
AIDC-ai-business/Marcoroni-7B,AIDC-ai-business,586,584,9586,True,
AIDC-ai-business/Marcoroni-7B-v2,AIDC-ai-business,586,584,9586,True,
AIDC-ai-business/Marcoroni-7B-v3,AIDC-ai-business,586,584,9586,True,
AIGeekLabs/radiantloom-mixtral-8x7b-fusion,AIGeekLabs,586,584,9586,True,
AIGym/Llama-2-7b-chat-hf-structured-responses,AIGym,586,584,9586,True,
AIGym/TinyLlama-1.1B-2.5T-chat,AIGym,586,584,9586,True,
AIGym/TinyLlama-1.1B-2.5T-chat-and-function-calling,AIGym,586,584,9586,True,
AIGym/deepseek-coder-1.3b-chat,AIGym,586,584,9586,True,
AIGym/deepseek-coder-1.3b-chat-and-function-calling,AIGym,586,584,9586,True,
AIGym/deepseek-coder-6.7b-chat,AIGym,586,584,9586,True,
AIGym/deepseek-coder-6.7b-chat-and-function-calling,AIGym,586,584,9586,True,
AIJUUD/juud-Mistral-7B,AIJUUD,586,584,9586,True,
AIJUUD/juud-Mistral-7B-dpo,AIJUUD,586,584,9586,True,
ALBADDAWI/DeepCode-7B-Aurora,ALBADDAWI,586,584,9586,True,
ALBADDAWI/DeepCode-7B-Aurora-v12,ALBADDAWI,586,584,9586,True,
ALBADDAWI/DeepCode-7B-Aurora-v13,ALBADDAWI,586,584,9586,True,
ALBADDAWI/DeepCode-7B-Aurora-v2,ALBADDAWI,586,584,9586,True,
ALBADDAWI/DeepCode-7B-Aurora-v3,ALBADDAWI,586,584,9586,True,
APMIC/caigun-lora-model-33B,APMIC,0,0,0,False,source_F_lt100;source_C_lt100;target_valid_lt200
APMIC/caigun-lora-model-34B-v2,APMIC,586,584,9586,True,
APMIC/caigun-lora-model-34B-v3,APMIC,586,584,9586,True,
Aabbhishekk/TinyLlama-1.1B-miniguanaco,Aabbhishekk,586,584,9586,True,
Aabbhishekk/llama2-7b-function-calling-slerp,Aabbhishekk,586,584,9586,True,
AbacusResearch/Jallabi-34B,AbacusResearch,586,584,9586,True,
AbacusResearch/RasGulla1-7b,AbacusResearch,586,584,9586,True,
AbacusResearch/haLLAwa2,AbacusResearch,586,584,9586,True,
AbacusResearch/haLLAwa3,AbacusResearch,586,584,9586,True,
AbacusResearch/haLLawa4-7b,AbacusResearch,586,584,9586,True,
AbacusResearch/jaLLAbi,AbacusResearch,0,0,0,False,source_F_lt100;source_C_lt100;target_valid_lt200
AbacusResearch/jaLLAbi2-7b,AbacusResearch,586,584,9586,True,
Abe13/juniper-certificate-Llama-2-7b-chat-hf,Abe13,586,584,9586,True,
Abhaykoul/EMO-1B,Abhaykoul,586,584,9586,True,
Abhaykoul/HelpingAI-3B,Abhaykoul,586,584,9586,True,
Abhaykoul/HelpingAI-Lite-4x1b,Abhaykoul,586,584,9586,True,
Abhaykoul/MediKAI,Abhaykoul,586,584,9586,True,
Abhaykoul/OEvortex,Abhaykoul,586,584,9586,True,
Abhaykoul/Qwen1.5-0.5B-vortex,Abhaykoul,586,584,9586,True,
Abhaykoul/Qwen1.5-0.5B-vortex-v2,Abhaykoul,586,584,9586,True,
Abhaykoul/qwen1.5-vortex,Abhaykoul,586,584,9586,True,
Abhaykoul/vortex2,Abhaykoul,586,584,9586,True,
Abhinav7/NeuralPipe-7B-slerp,Abhinav7,586,584,9586,True,
AdaptLLM/finance-chat,AdaptLLM,586,584,9586,True,
AdaptLLM/law-chat,AdaptLLM,586,584,9586,True,
AdaptLLM/medicine-chat,AdaptLLM,586,584,9586,True,
Aeala/GPT4-x-AlpacaDente-30b,Aeala,586,586,9586,True,
Aeala/GPT4-x-AlpacaDente2-30b,Aeala,586,586,9586,True,
Aeala/GPT4-x-Alpasta-13b,Aeala,586,586,9586,True,
AetherResearch/Cerebrum-1.0-7b,AetherResearch,586,584,9586,True,
AetherResearch/Cerebrum-1.0-8x7b,AetherResearch,586,584,9586,True,
AiMavenAi/AiMaven-Prometheus,AiMavenAi,586,584,9586,True,
AiMavenAi/AiMaven-SmartDawg-7b,AiMavenAi,586,584,9586,True,
AiMavenAi/MavenWest,AiMavenAi,586,584,9586,True,
AiMavenAi/Prometheus-1.3,AiMavenAi,586,584,9586,True,
AlanRobotics/nanit,AlanRobotics,586,584,9586,True,
AlanRobotics/nanit_v1.1,AlanRobotics,586,584,9586,True,
AlanRobotics/nanit_v2,AlanRobotics,586,584,9586,True,
AlanRobotics/nanit_v3,AlanRobotics,586,584,9586,True,
AlanRobotics/nanit_v3.2,AlanRobotics,586,584,9586,True,
AlanRobotics/nanobot_v1,AlanRobotics,586,584,9586,True,
AlekseyKorshuk/chatml-pyg-v1,AlekseyKorshuk,586,586,9586,True,
AlekseyKorshuk/pygmalion-6b-vicuna-chatml,AlekseyKorshuk,586,584,9586,True,
AlekseyKorshuk/vic15-exp-syn-fight-cp3838,AlekseyKorshuk,586,584,9586,True,
AllyArc/llama_allyarc,AllyArc,586,584,9586,True,
AlpinDale/pygmalion-instruct,AlpinDale,586,584,9586,True,
Alsebay/Kilo-2x8B,Alsebay,586,584,9586,True,
Alsebay/L3-krai-test,Alsebay,586,584,9586,True,
Alsebay/L3-krai-test-2,Alsebay,586,584,9586,True,
Alsebay/L3-test-2,Alsebay,586,584,9586,True,
Alsebay/Lorge-2x7B-UAMM,Alsebay,586,584,9586,True,
Alsebay/Narumashi-11B,Alsebay,586,584,9586,True,
Alsebay/Narumashi-11B-v0.9,Alsebay,586,584,9586,True,
Alsebay/Narumashi-RT-11B-test,Alsebay,586,584,9586,True,
Alsebay/NarumashiRTS-V1,Alsebay,586,584,9586,True,
Alsebay/NarumashiRTS-V2,Alsebay,586,584,9586,True,
Alsebay/new-turn-2,Alsebay,586,584,9586,True,
AmberYifan/safe-spin-iter1-v2,AmberYifan,586,584,9586,True,
AmberYifan/test-spin-lora-iter0,AmberYifan,586,584,9586,True,
AmberYifan/test-spin-lora-iter1,AmberYifan,586,584,9586,True,
AmberYifan/test-spin-lora-iter2,AmberYifan,586,584,9586,True,
Amu/dpo-Qwen1.5-0.5B-Chat-alignment-handbook,Amu,586,584,9586,True,
Amu/dpo-qlora-Qwen1.5-0.5B-Chat-xtuner,Amu,586,584,9586,True,
Antonio88/TaliML-7B-ITA-V.1.0.FINAL,Antonio88,586,584,9586,True,
Antonio88/TaliML-7B-V.1-ENG,Antonio88,586,584,9586,True,
Aratako/Beyonder-4x7B-random-lora,Aratako,586,584,9586,True,
Aratako/Mixtral-8x7B-Instruct-v0.1-upscaled,Aratako,586,584,9586,True,
Aratako/Qwen1.5-MoE-2x7B,Aratako,586,584,9586,True,
Aratako/c4ai-command-r-v01-japanese-instruct,Aratako,586,584,9586,True,
ArianAskari/NeuralHermes-2.5-Mistral-7B,ArianAskari,586,584,9586,True,
ArianAskari/SOLID-SFT-DPO-MixQV2-SOLIDChosen-SFTRejected-Zephyr-7b-beta,ArianAskari,586,584,9586,True,
ArianAskari/SOLID-SFT-DPO-MixQV2-SOLIDRejected-SFTChosen-Zephyr-7b-beta,ArianAskari,586,584,9586,True,
ArianAskari/SOLID-SFT-DPO-MixQV3-SOLIDChosen-SFTRejected-Zephyr-7b-beta,ArianAskari,586,584,9586,True,
ArianAskari/SOLID-SFT-DPO-MixQV3-SOLIDRejected-SFTChosen-Zephyr-7b-beta,ArianAskari,586,584,9586,True,
ArianAskari/SOLID-SFT-WoDPO-MixQV2-Zephyr-7b-beta,ArianAskari,586,584,9586,True,
ArianAskari/SOLID_SFT-WoDPO-WoMixQ,ArianAskari,586,584,9586,True,
ArtMindia/artmindia3k,ArtMindia,586,584,9586,True,
Artples/L-MChat-7b,Artples,586,584,9586,True,
Artples/L-MChat-Small,Artples,586,584,9586,True,
Artples/M-LChat-7b,Artples,586,584,9586,True,
Aryanne/MixSwap,Aryanne,586,584,9586,True,
Aryanne/Open-StarLake-Swap-7B,Aryanne,586,584,9586,True,
Aryanne/TinyllamaMix-1.1B,Aryanne,586,584,9586,True,
Aryanne/WestSenzu-Swap-7B,Aryanne,586,584,9586,True,
Aryanne/Westest-7B,Aryanne,586,584,9586,True,
Aryanne/YarnLake-Swap-7B,Aryanne,586,584,9586,True,
Aryanne/ereb-test,Aryanne,586,584,9586,True,
Aryanne/sheared-plus-westlake-50_75p,Aryanne,586,584,9586,True,
Aryanne/sheared-plus-westlake-nearest-50_75p,Aryanne,586,584,9586,True,
Aryanne/sheared-plus-westlake-normal,Aryanne,586,584,9586,True,
Aryanne/sheared-silicon10p,Aryanne,586,584,9586,True,
Aspik101/Llama-2-7b-hf-instruct-pl-lora_unload,Aspik101,586,584,9586,True,
Aspik101/Nous-Hermes-13b-pl-lora_unload,Aspik101,586,584,9586,True,
Aspik101/Redmond-Puffin-13B-instruct-PL-lora_unload,Aspik101,586,584,9586,True,
Aspik101/StableBeluga-13B-instruct-PL-lora_unload,Aspik101,586,584,9586,True,
Aspik101/Vicuzard-30B-Uncensored-instruct-PL-lora_unload,Aspik101,586,584,9586,True,
Aspik101/WizardVicuna-Uncensored-3B-instruct-PL-lora_unload,Aspik101,586,584,9586,True,
Aspik101/llama-30b-2048-instruct-PL-lora_unload,Aspik101,586,584,9586,True,
Aspik101/llama-30b-instruct-2048-PL-lora,Aspik101,586,584,9586,True,
Aspik101/trurl-2-13b-pl-instruct_unload,Aspik101,586,584,9586,True,
Aspik101/trurl-2-7b-pl-instruct_unload,Aspik101,586,584,9586,True,
Aspik101/vicuna-13b-v1.5-PL-lora_unload,Aspik101,586,584,9586,True,
Aspik101/vicuna-7b-v1.3-instruct-pl-lora_unload,Aspik101,586,584,9586,True,
AtAndDev/CapybaraMarcoroni-7B,AtAndDev,586,584,9586,True,
AtAndDev/Ogno-Monarch-Neurotic-7B-Dare-Ties,AtAndDev,586,584,9586,True,
AtAndDev/Ogno-Monarch-Neurotic-9B-Passthrough,AtAndDev,586,584,9586,True,
AtAndDev/ShortKing-3b-v0.3,AtAndDev,586,584,9586,True,
AtAndDev/ShortKingv0.1,AtAndDev,586,584,9586,True,
AurelPx/Dare-k-7B-ties,AurelPx,586,584,9586,True,
AurelPx/Meliodas-7b-dare,AurelPx,586,584,9586,True,
AurelPx/NeuralPipe-7B-slerp,AurelPx,586,584,9586,True,
AurelPx/Pegasus-7b-slerp,AurelPx,586,584,9586,True,
AurelPx/Percival_01-7b-slerp,AurelPx,586,584,9586,True,
Austism/chronos-hermes-13b-v2,Austism,586,584,9586,True,
AwanLLM/Awanllm-Llama-3-8B-Cumulus-v0.2,AwanLLM,586,584,9586,True,
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.3,AwanLLM,586,584,9586,True,
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.3-DPO,AwanLLM,586,584,9586,True,
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.6-Abliterated,AwanLLM,586,584,9586,True,
AwanLLM/Awanllm-Llama-3-8B-Instruct-DPO-v0.1,AwanLLM,586,584,9586,True,
AwanLLM/Awanllm-Llama-3-8B-Instruct-DPO-v0.2,AwanLLM,586,584,9586,True,
AwanLLM/Awanllm-Llama-3-8B-Instruct-ORPO-v0.1,AwanLLM,586,584,9586,True,
AwanLLM/Llama-3-8B-Cumulus-v0.1,AwanLLM,586,584,9586,True,
AwanLLM/Llama-3-8B-Dolfin-v0.2-Instruct,AwanLLM,586,584,9586,True,
AwanLLM/Meta-Llama-3-8B-Instruct-Dolfin-v0.1,AwanLLM,586,584,9586,True,
Azazelle/Argetsu,Azazelle,586,584,9586,True,
Azazelle/Bianca-7b,Azazelle,586,584,9586,True,
Azazelle/Dumb-Maidlet,Azazelle,586,584,9586,True,
Azazelle/Half-NSFW_Noromaid-7b,Azazelle,586,584,9586,True,
Azazelle/L3-RP_io,Azazelle,586,584,9586,True,
Azazelle/Maylin-7b,Azazelle,586,584,9586,True,
Azazelle/Mocha-Dare-7b-ex,Azazelle,586,584,9586,True,
Azazelle/Mocha-SR-7b-ex,Azazelle,586,584,9586,True,
Azazelle/Mocha-Sample-7b-ex,Azazelle,586,584,9586,True,
Azazelle/Moko-DARE,Azazelle,586,584,9586,True,
Azazelle/Moko-SAMPLE,Azazelle,586,584,9586,True,
Azazelle/Silicon-Medley,Azazelle,586,584,9586,True,
Azazelle/Sina-Loki-7b-Merge,Azazelle,586,584,9586,True,
Azazelle/Sina-Odin-7b-Merge,Azazelle,586,584,9586,True,
Azazelle/Sina-Thor-7b-Merge,Azazelle,586,584,9586,True,
Azazelle/SlimMelodicMaid,Azazelle,586,584,9586,True,
Azazelle/Tippy-Toppy-7b,Azazelle,586,584,9586,True,
Azazelle/Yuna-7b-Merge,Azazelle,586,584,9586,True,
Azazelle/smol_bruin-7b,Azazelle,586,584,9586,True,
Azazelle/xDAN-SlimOrca,Azazelle,586,584,9586,True,
Azure99/blossom-v2-3b,Azure99,586,584,9586,True,
Azure99/blossom-v2-llama2-7b,Azure99,586,584,9586,True,
Azure99/blossom-v3_1-yi-34b,Azure99,586,584,9586,True,
Azure99/blossom-v4-mistral-7b,Azure99,586,584,9586,True,
Azure99/blossom-v4-qwen1_5-14b,Azure99,586,584,9586,True,
Azure99/blossom-v4-qwen1_5-4b,Azure99,586,584,9586,True,
Azure99/blossom-v4-qwen1_5-7b,Azure99,586,584,9586,True,
Azure99/blossom-v4-yi-34b,Azure99,586,584,9586,True,
Azure99/blossom-v5-14b,Azure99,586,584,9586,True,
Azure99/blossom-v5-32b,Azure99,586,584,9586,True,
Azure99/blossom-v5-34b,Azure99,586,584,9586,True,
Azure99/blossom-v5-4b,Azure99,586,584,9586,True,
Azure99/blossom-v5-7b,Azure99,586,584,9586,True,
Azure99/blossom-v5-9b,Azure99,586,584,9586,True,
Azure99/blossom-v5-llama3-8b,Azure99,586,584,9586,True,
Azure99/blossom-v5-mistral-7b,Azure99,586,584,9586,True,
Azure99/blossom-v5.1-34b,Azure99,586,584,9586,True,
BAAI/Aquila2-34B,BAAI,586,584,9586,True,
BEE-spoke-data/Meta-Llama-3-8Bee,BEE-spoke-data,586,584,9586,True,
BEE-spoke-data/Mixtral-GQA-400m-v2,BEE-spoke-data,586,584,9586,True,
BEE-spoke-data/TinyLlama-1.1bee,BEE-spoke-data,586,584,9586,True,
BEE-spoke-data/TinyLlama-3T-1.1bee,BEE-spoke-data,586,584,9586,True,
BEE-spoke-data/smol_llama-101M-GQA,BEE-spoke-data,586,584,9586,True,
BEE-spoke-data/smol_llama-220M-GQA,BEE-spoke-data,586,584,9586,True,
BEE-spoke-data/smol_llama-220M-open_instruct,BEE-spoke-data,586,584,9586,True,
BEE-spoke-data/smol_llama-220M-openhermes,BEE-spoke-data,586,584,9586,True,
BEE-spoke-data/smol_llama-81M-tied,BEE-spoke-data,586,584,9586,True,
BEE-spoke-data/verysmol_llama-v11-KIx2,BEE-spoke-data,586,584,9586,True,
BEE-spoke-data/zephyr-220m-dpo-full,BEE-spoke-data,586,584,9586,True,
BEE-spoke-data/zephyr-220m-sft-full,BEE-spoke-data,586,584,9586,True,
BELLE-2/BELLE-Llama2-13B-chat-0.4M,BELLE-2,586,584,9586,True,
BFauber/base_7b,BFauber,586,584,9586,True,
BFauber/bloom-1b1_10e6,BFauber,586,584,9586,True,
BFauber/lora_llama2-13b_10e4,BFauber,586,584,9586,True,
BFauber/lora_llama2-13b_10e5,BFauber,586,584,9586,True,
BFauber/lora_llama2-13b_10e5_attn_only,BFauber,586,584,9586,True,
BFauber/lora_llama2-13b_10e5_r128_a16,BFauber,586,584,9586,True,
BFauber/lora_llama2-13b_10e5_r128_a256,BFauber,586,584,9586,True,
BFauber/lora_llama2-13b_10e5_r128_a4,BFauber,586,584,9586,True,
BFauber/lora_llama2-13b_10e5_r128_a64,BFauber,586,584,9586,True,
BFauber/lora_llama2-13b_10e5_r2_a16,BFauber,586,584,9586,True,
BFauber/lora_llama2-13b_10e5_r2_a256,BFauber,586,584,9586,True,
BFauber/lora_llama2-13b_10e5_r2_a4,BFauber,586,584,9586,True,
BFauber/lora_llama2-13b_10e5_r2_a64,BFauber,586,584,9586,True,
BFauber/lora_llama2-13b_10e5_r32_a16,BFauber,586,584,9586,True,
BFauber/lora_llama2-13b_10e5_r32_a256,BFauber,586,584,9586,True,
BFauber/lora_llama2-13b_10e5_r32_a4,BFauber,586,584,9586,True,
BFauber/lora_llama2-13b_10e5_r32_a64,BFauber,586,584,9586,True,
BFauber/lora_llama2-13b_10e5_r8_a16,BFauber,586,584,9586,True,
BFauber/lora_llama2-13b_10e5_r8_a256,BFauber,586,584,9586,True,
BFauber/lora_llama2-13b_10e5_r8_a4,BFauber,586,584,9586,True,
BFauber/lora_llama2-13b_10e5_r8_a64,BFauber,586,584,9586,True,
BFauber/lora_llama2-13b_10e6,BFauber,586,584,9586,True,
BFauber/lora_llama2-7b_10e4,BFauber,586,584,9586,True,
BFauber/lora_llama2-7b_10e5,BFauber,586,584,9586,True,
BFauber/lora_llama2-7b_10e6,BFauber,586,584,9586,True,
BFauber/lora_opt1.3b_10e5,BFauber,586,584,9586,True,
BFauber/lora_opt125m_10e5,BFauber,586,584,9586,True,
BFauber/lora_opt13b_10e5,BFauber,586,584,9586,True,
BFauber/lora_opt6.7b_10e5,BFauber,586,584,9586,True,
BFauber/opt1.3b_10e4,BFauber,586,584,9586,True,
BFauber/opt1.3b_10e5,BFauber,586,584,9586,True,
BFauber/opt1.3b_10e6,BFauber,586,584,9586,True,
BFauber/opt125m_10e2,BFauber,586,584,9586,True,
BFauber/opt125m_10e3,BFauber,586,584,9586,True,
BFauber/opt125m_10e4,BFauber,586,584,9586,True,
BFauber/opt125m_10e5,BFauber,586,584,9586,True,
BFauber/opt125m_10e5_10ep,BFauber,586,584,9586,True,
BFauber/opt125m_10e5_1ep,BFauber,586,584,9586,True,
BFauber/opt125m_10e5_20ep,BFauber,586,584,9586,True,
BFauber/opt125m_10e5_30ep,BFauber,586,584,9586,True,
BFauber/opt125m_10e5_40ep,BFauber,586,584,9586,True,
BFauber/opt125m_10e5_50ep,BFauber,586,584,9586,True,
BFauber/opt125m_10e5_lr2e-3,BFauber,586,584,9586,True,
BFauber/opt125m_10e5_lr2e-4,BFauber,586,584,9586,True,
BFauber/opt125m_10e5_lr2e-5,BFauber,586,584,9586,True,
BFauber/opt125m_10e5_lr2e-6,BFauber,586,584,9586,True,
